# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4038] IDA-GROVE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     2   7   7  11   6  12  10  14   7   8   2   6  92
1952     5   4   9   7  11  11   8  15   2   0   4   5  81
1953     5   7  10  11  10   7   9   8   4   6   3   3  83
1954     1   6   8  10   8  11   8  13   7   7   2   2  83
1955     5   0   6   6   5   7   6   5   6   4   0   2  52
1956     3   1   2   5   7   4  10  12   6   6   5   1  62
1957     3   1   3   3   8  11  11  11   8   8   5   5  77
1958     3   2   4   9   7  11  16   7   6   1   2   1  69
1959     2   3   8   4  13   4   4   7   8   7   7   9  76
1960     6   6   8   6  10  10   7  11   9   2   2   3  80
1961     1   6   8   7   7  10  12  10  11   4   3   4  83
1962     3   8   7   7  12   9  11   7   5   6   3   4  82
1963     5   5   7   7   6  12  12   8   8   3   3   5  81
1964     4   4   6  11   9   9   7  10   9   3   4   6  82
1965     2   7   7  10  13   6  11   9  16   2   3   2  88
1966     5   3   3   4   5  12  11   6   5   4   1   3  62
1967     6   3   2   8   8  18   3   9   4   7   0   6  74
1968     4   2   2  10   7  10  10  10   9   7   7   8  86
1969     9   4   3   7  10   8   7   6   8  10   2   7  81
1970     2   1   8   8   9   6   9   6   7   9   6   2  73
1971     1   9   3   2   9   6   7   1   4   8   8   3  61
1972     3   8   7   6  13   7  13  11  11   5   8   7  99
1973     6   5   8  10   8   5   9   5  13   6   7   8  90
1974     7   2   5   7  11   7   8  11   4   4   5   4  75
1975    11   4  10  12   9  12   5   7   4   2   8   2  86
1976     2   2   7   6   7   4   5   4   0   3   1   3  44
1977     4   2   9  11   7   6   8   9  11   8   7   4  86
1978     6   7   5  11  10   9   9   7   7   7   5   8  91
1979     7   4  10   8  11   8   7   8   5   6   7   2  83
1980     5   6   8   4   6   8   7  16   4   5   1   3  73
1981     0   4   4   6   6   6   5  10   4   7   6   5  63
1982     6   4   4   9  18   7  12   9   8  10   5   3  95
1983     3   7  11   9  12  11   6   7   5   9  11   5  96
1984     1   4  11  14  17  16   9   8   9  15   4   8 116
1985     3   3   9  11  12  10   8  12  14   7   5   7 101
1986     1   2   5  14  10  11   8   7  16   8   5   4  91
1987     0   0   0   0  10   5  14   7   5   3   6   4  54
1988     1   0   2   0   0   0   0   4  11   2   4   2  26
1989     3   1   4   6   7   9   8   8   6   4   1   2  59
1990     3   3  11   5   8  10  13   7   6   6   3   2  77
1991     4   2   9  12  14   7   7   7   9   6  11   3  91
1992     5   4   6   6   6   8  17   9   7   3   6   5  82
1993     5   7   7  10  14  10  14  13   9   3   4   6 102
1994     7   6   0   5   9   9  11  11   5   6   7   3  79
1995     3   2   9  14  16   9   7   7   9   9   6   4  95
1996     6   3   5   4  13  11   9   6   5   4  11   5  82
1997     8   3   6  11   8   7   6   6   7   5   5   7  79
1998     5   7  12  10   9  14   5  11   3   9   4   3  92
1999     5   7   4  14  10  11  10   4   3   3   3   6  80
2000     7   5   8   6   9  11   7   9   4   9   6  14  95
2001    10   6   4   6  14   9   9   7   9   4   4   4  86
2002     4   2   7  12  11   9   8  10   8  10   3   2  86
2003     6   6   9  12  15  10  10   3   8   4   6   6  95
2004     8   7  13   5  16  13   8  10   9  10   9   4 112
2005     6   7   3   8  15  17   7   0   0   0   0   0  63
STDDEV   2   2   3   3   3   3   3   3   3   3   3   2  16
AVG      4   4   6   8  10   9   9   8   7   6   5   4  81
