# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8568] VINTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.78   0.29   53(62)   19(22)    8( 9)    5( 6)    0( 0)    0       85
  2 3/8-->3/14       1.30   0.27   55(65)   16(19)   10(12)    3( 4)    0( 0)    0       84
  3 3/15-->3/21      1.13   0.24   65(66)   18(18)   14(14)    1( 1)    0( 0)    0       98
  4 3/22-->3/28      1.98   0.30   55(58)   24(25)   13(14)    3( 3)    0( 0)    0       95
  5 3/29-->4/4       1.87   0.36   54(54)   23(23)   14(14)    9( 9)    0( 0)    0      100
  6 4/5-->4/11       1.63   0.30   60(61)   19(19)   16(16)    4( 4)    0( 0)    0       99
  7 4/12-->4/18      2.00   0.38   61(53)   24(21)   21(18)   10( 9)    0( 0)    0      116
  8 4/19-->4/25      2.33   0.38   78(56)   30(22)   19(14)   11( 8)    1( 1)    0      139
  9 4/26-->5/2       3.00   0.39   64(54)   24(20)   21(18)    8( 7)    2( 2)    0      119
 10 5/3-->5/9        2.72   0.43   57(44)   30(23)   34(26)    6( 5)    2( 2)    0      129
 11 5/10-->5/16      2.20   0.43   72(53)   23(17)   23(17)   14(10)    3( 2)    0      135
 12 5/17-->5/23      2.81   0.36   66(54)   30(24)   22(18)    3( 2)    2( 2)    0      123
 13 5/24-->5/30      4.65   0.46   76(51)   23(15)   32(21)   16(11)    2( 1)    0      149
 14 5/31-->6/6       2.05   0.36   56(52)   27(25)   16(15)    8( 7)    1( 1)    0      108
 15 6/7-->6/13       2.45   0.47   61(42)   30(21)   31(22)   21(15)    1( 1)    0      144
 16 6/14-->6/20      4.00   0.46   66(55)   21(18)   16(13)   13(11)    4( 3)    0      120
 17 6/21-->6/27      2.02   0.48   39(38)   24(24)   27(26)   11(11)    1( 1)    0      102
 18 6/28-->7/4       2.00   0.42   54(50)   23(21)   21(19)   11(10)    0( 0)    0      109
 19 7/5-->7/11       3.30   0.54   56(50)   19(17)   21(19)   11(10)    6( 5)    0      113
 20 7/12-->7/18      2.65   0.59   43(42)   17(17)   19(19)   16(16)    7( 7)    0      102
 21 7/19-->7/25      3.03   0.38   62(57)   20(19)   15(14)    9( 8)    2( 2)    0      108
 22 7/26-->8/1       2.22   0.42   49(49)   22(22)   20(20)    8( 8)    1( 1)    0      100
 23 8/2-->8/8        7.23   0.56   58(53)   19(17)   17(15)   11(10)    5( 5)    0      110
 24 8/9-->8/15       3.48   0.39   49(54)   19(21)   14(15)    8( 9)    1( 1)    0       91
 25 8/16-->8/22      4.00   0.42   59(53)   27(24)    9( 8)   15(14)    1( 1)    0      111
 26 8/23-->8/29      2.65   0.50   49(49)   19(19)   18(18)   13(13)    2( 2)    0      101
 27 8/30-->9/5       1.60   0.41   41(52)   14(18)   14(18)   10(13)    0( 0)    0       79
 28 9/6-->9/12       1.99   0.44   41(47)   24(27)   11(13)   12(14)    0( 0)    0       88
 29 9/13-->9/19      4.08   0.46   66(55)   22(18)   16(13)    9( 8)    6( 5)    0      119
 30 9/20-->9/26      2.50   0.48   56(52)   18(17)   19(18)   12(11)    3( 3)    0      108
 31 9/27-->10/3      2.10   0.44   36(47)   16(21)   16(21)    6( 8)    2( 3)    0       76
 32 10/4-->10/10     1.93   0.38   49(58)   15(18)   13(15)    8( 9)    0( 0)    0       85
 33 10/11-->10/17    2.17   0.36   45(57)   14(18)   13(16)    6( 8)    1( 1)    0       79
