# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7669] SIDNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   5  10  14  11  14  12  11   6   6   2   5  99
1952     1   6  12   9   7   9   6  14   3   0   3   4  74
1953     0   0   0   9   0  11   0   6   3   0   0   5  34
1954     0   4   0   7  11   6   3  12   5   7   1   3  59
1955     4   2   0   4   5   5   2   4   7   4   1   1  39
1956     5   2   2   6   7   8   8   9   3   6   0   0  56
1957     0   0   0   0   5  11   6   9   7   9   5   2  54
1958     7   4   5   7   7  11  13   5  10   0   4   2  75
1959     5   5   8   6  18   5   4  11  10  11   3   5  91
1960     5   7  11   7   8  12   5  10   3   4   2   2  76
1961     2   4  10   5   8   9   9   5   0   4   4   6  66
1962     2   8   5   7   9   6  11   9   0   7   4   5  73
1963     4   1   7   8   8  10  10  11  10   5   4   3  81
1964     4   4   6  11  11  15   9  12  10   1   9   3  95
1965     4   8   8   6  12  14  12   7  17   3   5   6 102
1966     5   4   4   9   9  11   7  10  14   4   2   4  83
1967     6   3   3  10   9  16   6   6   9   8   3  12  91
1968     5   1   4  13  14   7  10  12   8   7   7   8  96
1969     7   5   9   8  13  10  10  10   8  16   2   6 104
1970     1   2   9   7  10  11   9   5  13   9   8   4  88
1971     3   6  11   7  12   6   9   7   5   8   8   9  91
1972     4   4   8  10  14   7  11  10  10  12   9   5 104
1973     6   4  18  11  16  11  12   7  15   8   8  10 126
1974     6   4   6  10  13   5   4  11   3  10   8   7  87
1975     7   6   7   9  11  13   3   7  13   0  10   6  92
1976     3   5   8  11  11   4   6   5   8   5   0   2  68
1977     6   1   9  14  10   5  10  13  13  11   5   6 103
1978     6   7   6  15  11   7  12   7   8   5  11   5 100
1979     7   4   8  12   5  12  14   9   4   4   4   4  87
1980     7   8  11   5   8   6   7  10   7   6   1   0  76
1981     1   3   6   9   9   9  14  12   5   7   5   5  85
1982     7  10  10   8  18   9   9  11  10   7   4   7 110
1983     6   3  15  11  11  12   2   8   5  13  12  11 109
1984     4   7  12  18  12  14   7   1  12  13   4   8 112
1985     5   8  10  11  11  12   6  14  12  10   9   4 112
1986     0   7   6  13  12  11   9  13  16  12   7   4 110
1987     2   3  12   6  16  10   7  14   6   6   9   7  98
1988     2   3   2   7  10   5   8   6   6   2   9   3  63
1989     5   6   4   8   6   8   8   9   7   9   1   5  76
1990     5   3  12   7  15  11  11   9   5   7   4   8  97
1991     5   2  10  11  13   9   9   6   4   9  12   5  95
1992    10   9  12   8   8   9  13   4  13   4  10   8 108
1993     9   9   7  10  14  15  21  12  10   7   7   4 125
1994     2   5   2  10   8  12   6   9   4   8   7   5  78
1995     5   5   8  11  18  11   7   5   8   6   7   8  99
1996     9   2   3   7  19  14  12   8   9   6  10   4 103
1997     5   7   7  12  10   6  11   7   5   5   9   8  92
1998     5  10   9  11  13  15  10   7   5   7   8   5 105
1999     4   7   6  15  13  12   9   7   5   2   2   3  85
2000     2   6   9   8   7   6  10   7   7   7   4  12  85
2001    10   9   7  10  18  11  10   4   9  10   5   4 107
2002     4   5   7  13  14   4   7  10   4  14   5   1  88
2003     5   6  10  11  14  10   5   7   7   4   7   7  93
2004     6   5  15   5  17   8  16   8   4   7   9   2 102
2005    10   7   7  13  11  11   6   0   0   0   0   0  65
STDDEV   3   3   4   3   4   3   4   3   4   4   3   3  19
AVG      5   5   8   9  11  10   9   8   7   7   5   5  89
