# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4049] INDEPENDENCE-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     6   7  12   9  13  13   0   8   5  17   3   3  96
1952     7   2  10   3  10   8   8   7   4   0   3   4  66
1953     4   5   7   9   9   8  12   6   5   2   6   6  79
1954     3   4   9  11   7  13   8  14   8   9   4   8  98
1955     7   8   3   7   9  10   7   5   8   8   3   6  81
1956     5   4   7   9  12   6   9  11   6   5   6   4  84
1957     4   4   4   8   2   3   7   8   5   3   6   4  58
1958     3   1   4   8   6  10   8   5   7   4   3   3  62
1959     6   5   7   9  14   7   6   9  10   7   3   1  84
1960     4   2   0   8  16  10  11  11   8   7   4   3  84
1961     3   3  10   0   7   6  12   6   8   5   5   4  69
1962     2   0   6   7  11   7  14   5   8   9   3   4  76
1963     1   4   7  11   6   7  11   7   8   4   5   7  78
1964     1   2   6  10   8  10   5   7   7   2   6   6  70
1965     4   4  11  13  10  13   5  14  19   4   4   5 106
1966     3   3   8  11   8  10   8   4   4   4   3   4  70
1967     4   5   3   9   9  17  13   9   7   8   4  10  98
1968     7   3   7   8  12  11  10   9  17  10   6  10 110
1969     7   2   8   9  12  15  12   3  11   9   4   8 100
1970     3   5   7   7  15   8  11   8  14  13   6   5 102
1971     3   8   5   5  10  15   9   6   7   0   7   8  83
1972     3   5   8  11  12   9  13  12  10   7   7   7 104
1973     4   6   9   9  12   8  12   5  16   5   7   9 102
1974     8   4   9   8  14  10   7  11   5   9   5   8  98
1975     8   6   8  14   9  14   4  13   3   1  11   1  92
1976     1   6   9  10   8   9  10   8   6   6   2   3  78
1977     3   3   8   7   7   7  12  16  14   8   9   7 101
1978     2   4   2  12   8  13  12   5   8   7   8   6  87
1979    12   5  10   8   8   9   7  15   4   7   7   2  94
1980     7   5   3   7  11   9   8  18  12   5   3   3  91
1981     3   6   4  13   7  10   7  10   5   8  11   3  87
1982     9   4  12  11  17   7  11   6   9   7   9   8 110
1983     5   6   9  11  16  10   8   7   7   9  14   9 111
1984     4   6  10  11  12  10   9   3   6  14   7   9 101
1985     7   7  11   6   9   7   7   7  11  10  17   5 104
1986     5   7   5   9  16  13  11   7  15  12   7   5 112
1987     4   0   9   7   9   7   7  10   8   4  11  10  86
1988     3   5   3   4   3   8   8   6   8   6  10   4  68
1989     5   7   7   6   7   9   6   8  10   7   4   5  81
1990     6   5  12  13  14  13  10  13   6   6   8   8 114
1991     8   3  12  15  14   6   4   7  12  10  12   7 110
1992     9   6  10  13   6   4  19   7  12   4  11   9 110
1993     8   7   8  11  17  12  12  16  11   4   6   9 121
1994    11   7   1   9   8  10  11   8  10   4   8   6  93
1995     7   3  10  14  11  13   7   8   6  12   7   3 101
1996     7   3   7   9  16  13   9   6   7  11  14  10 112
1997    12  10   7   9  10  10   7  10   9   8   6   8 106
1998     9  10  12  11  13  17   5  14   6  14   4   5 120
1999    11   6   3  11  13  13  14   9   5   4   2   8  99
2000     6   9  12   7  13  16   7   6   6   9  10  15 116
2001    11  10   6  14  17  11  10   8   9   8   8  10 122
2002     8  10  13  13  12  14  11  11   9  20   6   8 135
2003     7   9   9  11  11  12  12   5   8   6  12  10 112
2004    10  11  18   7  19  17  11  13   3  15  11  11 146
2005    15  10  10   9  15  14   8   0   0   0   0   0  81
STDDEV   3   3   3   3   4   3   3   4   4   4   4   3  18
AVG      6   5   8   9  11  10   9   9   8   7   7   6  96
