# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5837] MUSCATINE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     6  10  14  13  12  16  10   9   7  12   7  10 126
1952     6   4  13   7  13   7   5   9   4   0   5   7  80
1953     6   7  15  11   8   7   6   4   8   2   4   9  87
1954     3   5   8  10   7   8   5  13   5   7   5   9  85
1955    12   8   7   6  10   8   6   5   8   9   4   5  88
1956     5   8   5   8  10   8  11   9   3   4   6   8  85
1957     9   7   7  12  13   9   7   7   5   5   7   7  95
1958     6   3   3  11   9  11  15   8   9   4   7   6  92
1959     6   9   9   9  10   7  10   7   9  11   7   9 103
1960     8   7   8  11  13  14   8   6   8   8   6   4 101
1961     3   6   9  15   8   6  14   6   7   8   8   9  99
1962     7  10  10   9  12   9  14   4   7  10   4   3  99
1963     9   7  12  12   8   2  10   5   6   7   4   5  87
1964     5   6   7  13   8   7   9   6  11   1  10   9  92
1965     9   7  11  13  12   6   7  12  13   6   5   7 108
1966     6   6  10  11  10   9   8   3   6   6   7   8  90
1967     6   6   8  14  10  11  11   7   8  13   6  12 112
1968     7   2   5   9  11   8   8   6  14   7  10  10  97
1969    10   3   8  13  12  13  14   5   8  11   3   7 107
1970     6   5  10  12  14   9   8   7  15   9   8   7 110
1971     4   8   7   5  11   6  13   3  10   7  10   7  91
1972     7  10  12  14  10  10  10   8   9  10   9   4 113
1973     8   7  16  13  13  10  12   9  13  11   7  10 129
1974    10   3  11   9  18  14   6  10   4  11  10  10 116
1975    12   6  11  12  12  14   8  11   7   3  15   7 118
1976     6   5  11   9   9   6   8  11   4   6   3   3  81
1977     9   4  13  10   9   7  10  16  13  10   9   8 118
1978     0   3   4  12   9  14  10   9   5  10  13   8  97
1979    10   5  12  15   9   7  10  10   1   9   5   3  96
1980     5   7   9   9   9   8   6  14   9   3   4   5  88
1981     1   6   2  10  13   8   9   9   8  11  12   5  94
1982    11   5  10   7  15   9  15   7   5   5   9   7 105
1983     4   7  11  11  14   7   3   7  11   8  11  13 107
1984     4   5  12  13  11  10  10   3   8  13   6  10 105
1985     6   8   9   5   9   7   8  10   9  12  16   6 105
1986     3  10   5  10  14   7  10   6  14   9   6   4  98
1987     7   1   8   7   7   8   4  12   4   4   9   8  79
1988     6   6   6   7   3   3   5   7   7   5  11   5  71
1989     4   8   5   8   9   7   7   9   8   6   2   7  80
1990     7   7  14  16  12  14  15  11   6   7   8   8 125
1991     8   3  12   9  15   5   5  10   9  13  12   8 109
1992     8   6   8  16   4   5  18   7  12   5  14   9 112
1993     7   8   9  13  18  16  17  19  13   7   6   8 141
1994    10   7   4   9   7  12   7   9   7   6  11   3  92
1995     8   2   8  12  16  10   8   9   6  11   7   5 102
1996     8   5   4   6  17  14   7   6   6   7   9   7  96
1997    13  10   6   7  13  12   7  13   9   9  10  10 119
1998     9   7  12  13  14  16   7  13   7  13   8   5 124
1999    11   7   6  12  10   9   6   9   6   4   3  12  95
2000     8   8   8   9  16  18   9  10  10   6   7  13 122
2001    12  13   7  12  19  10   8   8  11  11  10   8 129
2002     7   8  13  15  16  12  11  11   6  15   6   3 123
2003     7   7  10  13  13  10   9   9   7   6  13  12 116
2004     8   8  19   4  19  11   9  14   3  14  16   9 134
2005    15  10   9   8  10  11   7   0   0   0   0   0  70
STDDEV   3   2   3   3   4   3   3   3   3   4   4   3  16
AVG      7   6   9  11  12   9   9   8   8   8   8   7 103
