# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1402] CHARLES-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia1402
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.84  2.98  4.58  6.18  2.89  3.43  4.22  6.55  2.67  2.31  1.23  1.09 38.97
 1952  2.37  0.41  3.13  1.73  4.65  4.60  5.08  5.24  0.32  0.00  1.51  0.84 29.88
 1953  1.42  1.33  1.88  4.67  2.84  4.85  5.41  2.92  0.71  0.27  1.46  1.28 29.04
 1954  0.62  0.66  1.23  6.33  4.06  7.97  3.89  2.81  3.39  3.16  0.20  0.53 34.85
 1955  0.36  1.11  0.98  3.77  3.05  2.49  3.64  2.89  2.08  2.06  0.37  0.59 23.39
 1956  0.70  0.22  2.73  1.91  3.91  3.71  4.84  5.03  3.09  2.20  1.00  0.54 29.88
 1957  0.38  0.30  0.95  1.37  5.00  4.53  2.25  4.42  1.96  1.73  3.14  1.37 27.40
 1958  0.52  0.11  0.47  2.99  1.47  3.55  6.31  3.06  3.02  1.48  1.44  0.22 24.64
 1959  0.51  1.62  3.06  1.13  7.61  6.62  1.88  6.13  5.49  1.35  2.41  1.18 38.99
 1960  0.35  0.56  1.68  4.15  5.09  2.63  2.06  6.41  4.55  1.74  1.02  1.06 31.30
 1961  0.36  1.65  4.93  2.27  2.87  1.30  5.84  1.56  3.75  3.35  1.83  1.00 30.71
 1962  0.11  2.00  1.36  2.28  4.80  1.76  5.67  5.99  2.96  2.33  0.14  0.27 29.67
 1963  0.43  0.96  2.21  3.98  6.25  1.96  5.86  2.77  0.72  1.40  1.33  0.35 28.22
 1964  0.51  0.01  1.37  4.65  3.68  2.82  1.25  4.32  7.69  0.25  1.62  1.20 29.37
 1965  0.65  1.73  3.01  5.56  3.86  2.77  3.27  2.74 12.51  1.56  1.25  1.07 39.98
 1966  0.76  1.21  2.88  2.20  3.49  7.85  3.95  1.72  0.75  2.72  0.24  0.80 28.57
 1967  1.75  0.61  2.08  2.42  3.39  6.38  2.82  2.68  1.13  2.23  0.40  1.38 27.27
 1968  1.13  0.09  1.33  4.61  3.39  6.24  7.88  3.75  4.35  3.57  0.61  2.94 39.89
 1969  1.68  0.10  0.97  3.72  4.00 11.42  4.71  1.02  3.43  3.74  0.44  1.94 37.17
 1970  0.20  0.34  1.72  1.76  7.22  3.04  5.10  1.84  4.85  5.79  2.35  1.28 35.49
 1971  1.52  2.84  1.81  1.07  3.80  7.06  2.24  0.88  2.76  3.52  3.95  1.14 32.59
 1972  0.37  0.66  1.98  2.31  3.43  2.75  6.04  2.64 11.77  4.44  1.63  1.69 39.71
 1973  1.28  1.32  3.16  3.78  6.49  2.65  3.35  2.17  9.31  1.71  2.00  1.70 38.92
 1974  0.56  0.66  2.41  2.81  6.19  7.52  2.85  1.62  0.92  2.87  1.20  1.47 31.08
 1975  1.14  0.73  1.80  4.90  2.72  5.45  0.83  5.38  0.60  0.84  4.00  0.78 29.17
 1976  0.08  0.91  3.98  5.42  2.78  2.50  2.64  1.59  0.81  1.53  0.00  0.40 22.64
 1977  0.47  0.82  3.35  3.07  3.42  4.28  5.89  8.03  3.30  3.29  1.15  0.84 37.91
 1978  0.91  0.47  0.67  4.16  1.88  7.42  6.06  1.23  4.58  1.77  2.59  0.76 32.50
 1979  1.32  0.37  2.66  3.30  5.25  6.29  7.06 13.60  1.31  4.09  2.46  0.51 48.22
 1980  1.99  0.67  0.70  1.67  3.66  4.37  3.55 12.96  3.07  2.43  0.37  0.31 35.75
 1981  0.11  2.04  0.45  6.65  2.85  7.12  5.33  4.65  1.49  2.10  1.21  0.89 34.89
 1982  1.82  0.20  1.92  3.06  7.28  4.30  4.03  3.36  3.10  3.73  2.96  3.19 38.95
 1983  0.82  1.40  2.81  3.23  8.62  6.01  2.21  3.23  6.03  3.03  4.50  0.97 42.86
 1984  0.36  1.01  2.11  3.87  3.62  4.75  1.79  2.01  1.41  4.43  3.12  1.39 29.87
 1985  0.59  1.13  2.30  2.84  1.56  5.45  0.80  3.21  8.16  1.92  2.08  1.56 31.60
 1986  0.71  1.10  1.86  3.98  5.42  2.07  7.08  2.56  4.30  4.26  1.21  0.72 35.27
 1987  0.37  0.00  2.31  1.37  1.76  3.16  3.19  5.18  2.09  0.41  2.59  1.85 24.28
 1988  0.98  0.60  1.41  3.02  1.57  1.66  1.59  4.08  3.32  0.77  3.68  0.86 23.54
 1989  0.64  0.30  1.16  1.80  1.92  1.75  2.29  1.05  2.19  2.66  0.59  0.22 16.57
 1990  0.61  0.70  4.40  3.90  4.32  6.42  8.60  7.81  1.64  1.89  0.66  1.64 42.59
 1991  0.73  0.22  2.49  7.70  5.03  4.67  4.44  3.55  4.52  2.06  5.34  1.74 42.49
 1992  1.38  0.89  1.76  4.20  2.57  2.83  5.25  2.88  5.38  0.85  5.02  1.54 34.55
 1993  0.80  1.31  2.87  4.19  4.34  7.61  6.71 10.82  2.31  0.72  1.03  0.77 43.48
 1994  1.59  1.11  0.25  2.31  2.91  6.05  6.51  3.50  2.89  3.14  2.00  0.78 33.04
 1995  0.80  0.05  2.70  3.97  2.57  6.34  4.64  3.85  2.75  1.84  1.24  0.31 31.06
 1996  1.61  0.03  1.44  1.25  4.90  5.85  1.93  5.17  1.88  2.96  2.58  1.31 30.91
 1997  0.73  1.09  1.18  1.16  4.60  4.69  6.42  3.55  2.71  2.38  0.23  0.33 29.07
 1998  0.94  1.72  2.65  3.63  5.07  9.02  1.40  7.17  2.31  4.23  0.80  0.21 39.15
