 
 THIS IS FOR STATION NUMBER 2689 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.10   0.42  46(60) 15(19) 12(15)  3( 3)  0( 0)    7       76
  2 3/8-->3/14       2.36   0.47  61(68) 17(19)  6( 6)  4( 4)  1( 1)    9       89
  3 3/15-->3/21      2.00   0.44  47(61) 19(24)  7( 9)  3( 3)  1( 1)    7       77
  4 3/22-->3/28      2.79   0.64  46(56) 21(25)  7( 8)  5( 6)  3( 3)    7       82
  5 3/29-->4/4       1.30   0.59  57(58) 20(20) 16(16)  5( 5)  0( 0)    7       98
  6 4/5-->4/11       1.41   0.49  44(56) 19(24) 11(14)  4( 5)  0( 0)    7       78
  7 4/12-->4/18      2.20   0.65  55(56) 17(17) 19(19)  5( 5)  1( 1)    7       97
  8 4/19-->4/25      2.33   0.75  45(48) 22(23) 17(18)  7( 7)  2( 2)    7       93
  9 4/26-->5/2       2.04   0.83  59(51) 22(19) 26(22)  6( 5)  1( 0)    8      114
 10 5/3-->5/9        1.50   0.78  55(48) 29(25) 22(19)  7( 6)  0( 0)    6      113
 11 5/10-->5/16      1.30   0.79  58(51) 25(22) 20(17)  9( 8)  0( 0)    1      112
 12 5/17-->5/23      3.20   0.87  56(53) 22(21) 15(14)  8( 7)  3( 2)    1      104
 13 5/24-->5/30      2.73   0.96  71(58) 16(13) 23(18) 10( 8)  2( 1)    0      122
 14 5/31-->6/6       2.00   0.89  53(50) 16(15) 24(22) 11(10)  2( 1)    0      106
 15 6/7-->6/13       2.56   1.04  49(44) 22(20) 23(21) 12(11)  3( 2)    0      109
 16 6/14-->6/20      3.85   1.25  69(51) 18(13) 26(19) 18(13)  2( 1)    1      133
 17 6/21-->6/27      4.28   1.18  45(41) 23(21) 22(20) 14(12)  4( 3)    0      108
 18 6/28-->7/4       2.65   0.95  49(48) 24(23) 15(14) 11(10)  3( 2)    5      102
 19 7/5-->7/11       3.21   1.05  44(44) 21(21) 18(18) 12(12)  4( 4)    7       99
 20 7/12-->7/18      3.70   0.90  53(52) 16(15) 18(17) 11(10)  3( 2)    7      101
 21 7/19-->7/25      1.77   0.76  54(54) 19(19) 17(17) 10(10)  0( 0)    9      100
 22 7/26-->8/1       4.68   0.92  53(56) 19(20)  9( 9) 10(10)  3( 3)    6       94
 23 8/2-->8/8        2.92   0.87  38(44) 22(25) 11(12) 11(12)  4( 4)    0       86
 24 8/9-->8/15       3.12   0.86  35(42) 20(24) 17(20)  6( 7)  5( 6)    0       83
 25 8/16-->8/22      4.83   0.92  51(52) 20(20) 17(17)  6( 6)  4( 4)    0       98
 26 8/23-->8/29      2.28   0.86  40(44) 19(21) 15(16) 14(15)  2( 2)    2       90
 27 8/30-->9/5       4.10   0.81  47(56) 13(15) 12(14)  5( 6)  6( 7)   10       83
 28 9/6-->9/12       4.10   0.71  56(62) 12(13) 11(12)  8( 8)  2( 2)   15       89
 29 9/13-->9/19      2.17   0.67  55(59) 12(13) 17(18)  6( 6)  2( 2)   14       92
 30 9/20-->9/26      3.35   0.75  58(56) 23(22) 12(11)  8( 7)  1( 0)   14      102
 31 9/27-->10/3      1.64   0.47  47(61) 10(13) 15(19)  4( 5)  0( 0)   11       76
 32 10/4-->10/10     2.00   0.65  43(52) 15(18) 14(17)  9(10)  1( 1)   13       82
 33 10/11-->10/17    2.03   0.46  35(54) 10(15) 14(21)  4( 6)  1( 1)    9       64
 34 10/18-->10/24    1.39   0.41  34(52) 18(27) 11(16)  2( 3)  0( 0)    7       65
 35 10/25-->10/31    1.98   0.35  37(67)  8(14)  5( 9)  5( 9)  0( 0)    7       55
 36 11/1-->11/7      1.75   0.33  44(70)  8(12)  5( 8)  5( 8)  0( 0)   14       62
 37 11/8-->11/14     1.84   0.34  44(68) 13(20)  4( 6)  3( 4)  0( 0)   15       64
 38 11/15-->11/21    2.17   0.43  33(52) 12(19) 15(23)  2( 3)  1( 1)   15       63
 39 11/22-->11/28    0.80   0.23  50(74) 12(17)  5( 7)  0( 0)  0( 0)   14       67
 40 11/29-->12/5     2.08   0.24  41(75)  6(11)  6(11)  0( 0)  1( 1)   19       54
 41 12/6-->12/12     1.32   0.19  45(81)  5( 9)  4( 7)  1( 1)  0( 0)   21       55
 42 12/13-->12/19    1.34   0.23  34(66) 11(21)  5( 9)  1( 1)  0( 0)   22       51
 43 12/20-->12/26    1.10   0.20  43(81)  4( 7)  5( 9)  1( 1)  0( 0)   22       53
 44 12/27-->1/2      1.90   0.25  36(73)  8(16)  2( 4)  3( 6)  0( 0)   22       49
 45 1/3-->1/9        1.20   0.14  44(88)  4( 8)  1( 2)  1( 2)  0( 0)   14       50
 46 1/10-->1/16      0.97   0.18  39(78)  6(12)  5(10)  0( 0)  0( 0)   14       50
 47 1/17-->1/23      1.38   0.20  42(75)  9(16)  4( 7)  1( 1)  0( 0)   14       56
 48 1/24-->1/30      0.65   0.15  53(88)  3( 5)  4( 6)  0( 0)  0( 0)   14       60
 49 1/31-->2/6       0.64   0.15  30(75)  5(12)  5(12)  0( 0)  0( 0)    8       40
 50 2/7-->2/13       0.87   0.15  33(78)  6(14)  3( 7)  0( 0)  0( 0)    9       42
 51 2/14-->2/20      2.08   0.29  35(62) 13(23)  5( 8)  2( 3)  1( 1)    9       56
 52 2/21-->2/27      1.25   0.25  39(72)  9(16)  3( 5)  3( 5)  0( 0)    9       54
 53 2/28-->2/29      1.55   0.05   8(88)  0( 0)  0( 0)  1(11)  0( 0)    1        9
 ANNUAL TOTALS       4.83   2438(57)778(18)625(14)297( 7) 69( 1)  467     4207
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER 2689
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.76 0.89 2.12 2.92 3.77 4.70 4.03 4.00 2.84 2.05 1.45 0.91 30.43  <-- PRECIP
  
   15.7 22.1 33.0 48.6 61.3 71.0 74.8 72.3 63.5 51.7 35.0 21.6  52.1  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8     21  1979     4.83
   7     26  1969     4.68
   6     23  1994     4.28
   8     30  1962     4.10
   9      8  1964     4.10
   6     18  1954     3.85
   7     27  1997     3.75
   7     17  1968     3.70
   8     22  1975     3.55
   9      5  1985     3.50
   7     31  1964     3.40
   9     20  1964     3.35
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  2689
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      5      0      0      0    177     89     76     64
 1952     36     16     13     10    360    234    209    186
 1953    115     43     30     22    176     77     60     45
 1954     32      6      4      2    390    249    220    194
 1955     94     44     33     24    461    303    272    242
 1956     53     15     11      7    248    151    129    107
 1957     77     27     19     12    351    228    206    184
 1958     63     18     10      6    307    174    147    124
 1959     80     29     21     15    345    212    184    160
 1960     15      1      0      0    331    201    178    157
 1961     47     13      8      6    183     91     73     57
 1962     10      1      0      0    271    156    140    126
 1963    159    107     96     85    380    230    196    167
 1964     52     20     14      9    304    176    151    131
 1965      2      0      0      0    240    133    111     94
 1966    185    102     84     66    182     87     69     56
 1967    177    115    103     91    320    187    157    131
 1968    266    171    152    134    384    244    215    187
 1969     10      1      0      0    334    197    171    146
 1970     13      0      0      0    341    216    191    168
 1971     61     28     22     18    368    236    205    178
 1972     87     35     26     18    239    123    102     83
 1973    120     43     30     19    293    175    149    125
 1974    103     32     25     20    358    213    180    153
 1975     20      2      1      0    178     74     57     41
 1976    153     93     82     71    458    304    269    234
 1977    174     84     66     50    514    351    317    286
 1978    131     74     62     52    274    148    122     98
 1979     17      2      1      0    231    123    102     84
 1980     61     20     14     10    375    239    212    188
 1981    168     76     58     42    480    313    277    244
 1982     78     25     16     10    283    179    157    136
 1983     83     38     29     22    180     96     81     69
 1984     28      4      1      0    228    109     87     67
 1985    147     69     53     40    453    303    272    243
 1986    179    105     92     81    379    229    197    167
 1987    163     84     73     62    482    326    295    266
 1988    168     84     65     52    356    224    194    167
 1989    112     58     50     43    380    240    210    184
 1990    154     72     55     42    387    236    205    179
 1991    122     55     46     38    369    219    190    162
 1992    130     54     42     31    255    145    125    107
 1993     21      4      2      1    238    123    101     83
 1994    133     60     48     39    362    244    218    192
 1995    121     47     37     29    218    115     93     73
 1996     80     33     26     21    266    160    138    117
 1997    110     58     47     38    262    148    125    103
 1998     74     42     37     32    294    173    147    124
 1999    109     50     40     31    271    143    119     96
     ****************************  *************************** 
 MEAN   94.1   44.2   35.8   28.8  316.9  191.0  165.6  142.6
 STDV   60.8   37.9   33.4   29.1   88.6   69.8   65.0   60.4
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    666    439    388    342    706    475    419    366
 1952    573    361    316    273    951    712    653    595
 1953    596    390    348    311    926    688    629    571
 1954    482    313    275    238    914    678    622    567
 1955    718    496    450    407    775    540    484    433
 1956    638    432    389    349    969    734    676    618
 1957    543    347    304    264    808    571    513    458
 1958    693    485    438    394    741    509    454    406
 1959    673    461    412    365    917    677    619    566
 1960    606    397    349    304    789    553    496    444
 1961    523    338    299    262    860    621    566    513
 1962    751    518    464    414    824    586    530    476
 1963    593    387    344    305    940    701    642    584
 1964    735    511    464    418    851    618    564    510
 1965    709    481    428    378    869    629    571    515
 1966    541    369    334    302    886    648    590    533
 1967    476    300    264    233    826    588    530    474
 1968    481    308    271    237    866    634    578    525
 1969    652    442    397    355    714    494    443    395
 1970    700    489    441    396    912    674    617    561
 1971    578    390    351    314    984    744    684    625
 1972    645    439    391    346    847    608    553    500
 1973    590    383    339    298    918    678    618    559
 1974    560    365    324    285    832    595    539    486
 1975    712    490    443    398    852    616    559    503
 1976    595    401    360    320    875    639    584    532
 1977    865    627    571    517    918    678    619    560
 1978    645    446    402    361    886    655    598    542
 1979    559    372    333    295    858    625    568    513
 1980    702    486    441    397    856    621    567    516
 1981    591    396    353    314    898    658    598    541
 1982    655    428    376    326    723    495    445    399
 1983    504    330    293    260    833    603    548    496
 1984    555    358    315    276    883    643    585    528
 1985    704    483    439    397    761    535    486    439
 1986    645    434    386    341    915    676    617    559
 1987    807    575    523    474    978    739    680    621
 1988    831    598    548    500   1003    764    706    648
 1989    654    450    404    364    859    624    571    518
 1990    558    355    312    270    930    697    639    582
 1991    736    520    470    421    984    744    684    624
 1992    671    466    421    377    844    606    549    495
 1993    583    366    322    279    784    548    492    437
 1994    710    498    453    408    930    690    631    573
 1995    526    314    273    235    865    631    575    520
 1996    513    315    272    233    886    650    593    537
 1997    488    301    263    226    937    697    637    577
 1998    745    511    459    414    759    529    476    424
 1999    600    376    330    288    819    581    525    470
     ****************************  *************************** 
 MEAN  630.4  423.4  378.6  336.6  866.9  630.9  574.2  519.4
 STDV   94.0   79.6   75.7   71.8   73.3   70.5   68.7   66.0
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    929    681    619    558    867    619    557    497
 1952   1009    761    700    640    872    624    565    508
 1953   1000    752    690    629    944    696    634    574
 1954   1040    792    730    668    915    667    605    545
 1955   1108    860    798    736   1023    775    713    653
 1956    929    681    619    558    954    710    651    595
 1957   1110    862    800    738    957    710    649    588
 1958    918    670    609    550    984    740    679    620
 1959    981    733    671    610   1052    804    742    681
 1960    971    723    661    601    976    728    666    605
 1961    973    725    663    601    987    739    677    615
 1962    941    693    632    573    944    696    634    574
 1963   1011    763    701    639    916    671    613    557
 1964   1038    790    728    666    826    589    533    479
 1965   1005    757    695    633    890    645    585    527
 1966   1077    829    767    706    861    614    553    497
 1967    944    700    641    586    882    641    585    532
 1968    963    715    654    595    901    653    594    536
 1969   1011    763    701    640    960    712    650    588
 1970   1005    757    696    637    957    709    648    587
 1971    909    662    603    545    915    668    610    553
 1972    912    668    608    550    904    656    596    537
 1973   1004    756    694    632    995    747    685    623
 1974   1070    822    760    698    877    631    571    513
 1975   1030    782    721    662    997    749    687    625
 1976   1031    783    722    662    970    722    662    602
 1977   1059    811    749    687    887    640    581    524
 1978    989    741    679    617    961    714    655    598
 1979   1001    753    691    629    882    635    574    516
 1980   1050    802    740    678    953    705    644    584
 1981   1008    760    698    636    898    652    591    534
 1982   1024    776    714    652    908    663    605    550
 1983   1086    838    776    714   1069    821    759    697
 1984    976    729    668    607    982    737    678    620
 1985    970    722    661    600    835    589    531    476
 1986   1063    815    753    691    851    607    549    492
 1987   1084    836    774    712    895    648    588    531
 1988   1036    788    726    664   1024    779    720    661
 1989   1056    808    746    684    980    732    670    609
 1990    980    732    670    608    976    728    666    606
 1991   1011    763    701    639    973    725    663    601
 1992    830    582    520    460    816    571    513    457
 1993    981    733    671    609    959    711    649    588
 1994    931    683    621    559    867    620    561    503
 1995   1019    771    709    648   1078    830    768    706
 1996    936    688    626    564    930    682    620    558
 1997   1011    763    701    641    899    651    589    527
 1998   1005    757    695    633    972    724    662    600
 1999   1065    817    755    693    902    655    595    535
     ****************************  *************************** 
 MEAN 1002.1  754.3  692.6  631.7  935.4  688.7  628.3  569.3
 STDV   57.2   56.9   56.6   56.0   61.3   60.4   59.5   57.9
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    538    340    295    254    312    195    172    151
 1952    704    496    450    406     62     42     37     32
 1953    671    471    426    383    492    334    302    271
 1954    684    459    409    360    197     97     78     60
 1955    713    507    461    421    355    231    203    176
 1956    630    440    400    364    553    371    335    303
 1957    582    379    338    300    286    147    122     98
 1958    715    500    453    411    500    324    287    250
 1959    657    451    409    370    104     54     46     39
 1960    672    458    411    365    313    215    193    172
 1961    587    399    357    317      0      0      0      0
 1962    594    396    353    313    409    258    227    197
 1963    703    486    434    384    594    407    371    337
 1964    616    417    372    331    110     65     56     48
 1965    441    253    216    183    354    225    198    171
 1966    641    438    396    356    326    210    185    161
 1967    652    455    414    376    149     96     87     79
 1968    642    421    374    333    352    223    194    166
 1969    665    455    408    365    194    127    113    100
 1970    686    474    428    384    150    109     99     90
 1971    695    487    440    395    476    304    269    234
 1972    649    435    387    345    236    147    130    114
 1973    655    430    380    332    531    344    303    264
 1974    422    285    254    226      0      0      0      0
 1975    604    406    361    320    297    206    187    170
 1976    705    507    463    420    110     75     69     63
 1977    712    475    421    369    127     71     60     50
 1978    819    592    541    491    303    188    164    140
 1979    726    508    462    419    149     96     84     72
 1980    734    512    461    413    303    194    169    145
 1981    693    485    438    395      9      5      4      3
 1982    654    439    391    347    273    173    153    135
