 
 THIS IS FOR STATION NUMBER 1354 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        2.02   0.54  51(63) 12(15) 11(13)  5( 6)  1( 1)    7       80
  2 3/8-->3/14       1.53   0.50  48(57) 17(20) 15(18)  3( 3)  0( 0)   10       83
  3 3/15-->3/21      1.74   0.43  32(48) 20(30) 12(18)  2( 3)  0( 0)    8       66
  4 3/22-->3/28      1.47   0.56  48(58) 15(18) 11(13)  8( 9)  0( 0)    7       82
  5 3/29-->4/4       2.08   0.74  48(48) 24(24) 17(17)  8( 8)  1( 1)   12       98
  6 4/5-->4/11       3.96   0.58  41(53) 15(19) 14(18)  5( 6)  1( 1)   14       76
  7 4/12-->4/18      1.46   0.85  41(38) 31(29) 27(25)  7( 6)  0( 0)   16      106
  8 4/19-->4/25      2.97   1.06  49(43) 31(27) 19(16) 10( 8)  3( 2)   14      112
  9 4/26-->5/2       2.48   0.84  38(42) 21(23) 20(22)  9(10)  2( 2)   12       90
 10 5/3-->5/9        2.00   0.97  50(45) 23(21) 21(19) 14(12)  1( 0)    8      109
 11 5/10-->5/16      1.82   0.90  43(41) 27(26) 22(21) 11(10)  0( 0)    7      103
 12 5/17-->5/23      1.87   0.73  46(46) 26(26) 21(21)  6( 6)  0( 0)    4       99
 13 5/24-->5/30      3.06   1.14  59(47) 26(21) 21(17) 14(11)  3( 2)    0      123
 14 5/31-->6/6       2.83   0.91  46(50) 19(20) 10(10) 12(13)  4( 4)    1       91
 15 6/7-->6/13       2.03   1.15  46(42) 21(19) 20(18) 21(19)  1( 0)    2      109
 16 6/14-->6/20      2.57   0.88  50(50) 21(21) 14(14) 13(13)  1( 1)    1       99
 17 6/21-->6/27      3.33   0.97  42(50) 10(12) 17(20)  9(10)  5( 6)    5       83
 18 6/28-->7/4       4.37   1.06  35(38) 22(24) 20(22)  9(10)  4( 4)    3       90
 19 7/5-->7/11       4.26   0.88  38(46)  8( 9) 24(29) 10(12)  2( 2)    0       82
 20 7/12-->7/18      2.80   0.97  34(40) 17(20) 20(23)  9(10)  5( 5)    2       85
 21 7/19-->7/25      3.10   1.10  40(41) 27(27) 17(17)  5( 5)  8( 8)    1       97
 22 7/26-->8/1       3.90   0.94  33(41) 13(16) 18(22) 12(15)  3( 3)    1       79
 23 8/2-->8/8        4.49   1.06  39(45) 17(19) 11(12) 14(16)  5( 5)    7       86
 24 8/9-->8/15       2.25   0.91  34(39) 20(22) 20(22) 11(12)  2( 2)    4       87
 25 8/16-->8/22      2.46   0.89  37(44) 19(22) 17(20)  7( 8)  4( 4)    0       84
 26 8/23-->8/29      4.00   0.71  23(38)  9(15) 12(20) 13(22)  2( 3)    1       59
 27 8/30-->9/5       4.19   0.70  25(37) 17(25) 16(24)  6( 9)  2( 3)    5       66
 28 9/6-->9/12       2.97   0.85  26(36) 12(16) 21(29)  9(12)  3( 4)    7       71
 29 9/13-->9/19      3.00   1.01  33(39) 13(15) 21(25) 12(14)  4( 4)    8       83
 30 9/20-->9/26      2.77   0.90  25(32) 22(28) 14(17) 15(19)  2( 2)    8       78
 31 9/27-->10/3      2.74   0.69  24(36) 14(21) 19(28)  8(12)  1( 1)    7       66
 32 10/4-->10/10     4.25   0.88  30(41) 18(24) 13(17)  7( 9)  5( 6)    8       73
 33 10/11-->10/17    2.52   0.60  21(36) 18(31)  9(15)  7(12)  2( 3)    8       57
 34 10/18-->10/24    2.43   0.56  35(50) 14(20) 16(22)  3( 4)  2( 2)    7       70
 35 10/25-->10/31    1.32   0.46  34(53) 14(21) 11(17)  5( 7)  0( 0)    7       64
 36 11/1-->11/7      2.28   0.61  41(56)  9(12) 12(16)  8(11)  2( 2)   11       72
 37 11/8-->11/14     1.98   0.39  31(51) 18(30)  9(15)  2( 3)  0( 0)    9       60
 38 11/15-->11/21    1.94   0.48  27(48) 14(25)  8(14)  7(12)  0( 0)    7       56
 39 11/22-->11/28    1.65   0.31  37(64)  9(15) 10(17)  1( 1)  0( 0)   12       57
 40 11/29-->12/5     1.05   0.28  31(60)  8(15) 11(21)  1( 1)  0( 0)   17       51
 41 12/6-->12/12     2.32   0.38  43(64) 14(20)  6( 8)  3( 4)  1( 1)   10       67
 42 12/13-->12/19    1.86   0.21  33(73)  6(13)  4( 8)  2( 4)  0( 0)    8       45
 43 12/20-->12/26    1.04   0.24  31(65)  9(19)  4( 8)  3( 6)  0( 0)   12       47
 44 12/27-->1/2      1.06   0.27  35(66) 10(18)  7(13)  1( 1)  0( 0)   16       53
 45 1/3-->1/9        1.09   0.21  29(63) 12(26)  3( 6)  2( 4)  0( 0)   11       46
 46 1/10-->1/16      1.35   0.20  34(70)  7(14)  6(12)  1( 2)  0( 0)    8       48
 47 1/17-->1/23      1.54   0.27  46(69) 17(25)  2( 3)  1( 1)  0( 0)   11       66
 48 1/24-->1/30      0.82   0.21  49(77)  8(12)  6( 9)  0( 0)  0( 0)   14       63
 49 1/31-->2/6       0.79   0.18  44(80)  8(14)  3( 5)  0( 0)  0( 0)   23       55
 50 2/7-->2/13       0.67   0.18  37(67) 17(30)  1( 1)  0( 0)  0( 0)   21       55
 51 2/14-->2/20      0.92   0.31  38(61) 14(22) 10(16)  0( 0)  0( 0)   21       62
 52 2/21-->2/27      1.54   0.27  40(70) 12(21)  4( 7)  1( 1)  0( 0)   26       57
 53 2/28-->2/29      0.54   0.03   3(60)  0( 0)  2(40)  0( 0)  0( 0)    5        5
 ANNUAL TOTALS       4.49   1973(49)845(21)699(17)352( 8) 82( 2)  454     3951
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER 1354
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.99 0.95 2.38 3.49 4.09 4.17 4.46 3.91 3.68 2.74 1.89 1.20 33.95  <-- PRECIP
  
   23.0 28.9 39.3 52.8 63.6 72.9 77.6 75.4 66.9 55.7 41.0 28.5  56.7  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8      8  1970     4.49
   7      4  1981     4.37
  10      5  1954     4.25
   7      8  1994     4.26
   8     31  1980     4.19
   8     26  1977     4.00
   7     29  1957     3.90
   4     11  1992     3.96
   7      4  1974     3.61
   6     25  1975     3.33
   6     23  1978     3.22
  10      5  1998     3.20
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  1354
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     99     47     37     29    309    176    150    127
 1952    120     61     49     39    425    273    243    215
 1953    201     95     75     57    298    159    132    108
 1954    120     42     31     21    521    340    300    261
 1955    185    103     86     70    570    378    335    295
 1956    188     98     82     67    378    246    220    195
 1957    159     70     55     43    399    237    202    174
 1958     93     29     20     13    404    243    208    175
 1959    156     78     65     54    390    232    201    174
 1960     42     19     14     10    430    270    235    203
 1961    159     77     61     48    293    163    139    117
 1962    136     75     62     50    406    259    226    197
 1963    266    145    127    112    506    332    295    259
 1964    133     61     47     36    423    261    225    190
 1965     26      6      4      2    395    255    224    193
 1966    279    165    140    116    316    191    162    135
 1967    265    173    153    134    447    279    242    210
 1968    308    192    167    144    423    263    229    197
 1969     84     45     37     31    407    247    212    179
 1970     90     38     31     24    453    299    268    238
 1971    104     50     41     33    446    298    266    235
 1972    166     92     80     69    395    237    205    176
 1973    233    103     79     56    336    186    158    131
 1974    236    139    120    103    477    306    269    234
 1975     99     51     41     32    345    206    174    146
 1976    213    110     89     73    464    298    262    229
 1977    288    155    133    114    564    382    338    298
 1978    120     60     51     43    382    214    179    149
 1979    135     66     54     44    306    177    150    125
 1980    109     45     35     27    389    240    210    182
 1981    237    129    107     89    555    371    330    291
 1982    145     71     56     43    331    200    175    152
 1983    181     97     82     68    244    130    112     96
 1984     46     11      8      6    297    154    131    108
 1985    237    123    103     83    540    350    313    278
 1986    293    168    147    129    508    337    299    264
 1987    259    141    120    101    536    350    312    279
 1988    236    139    119    101    408    265    235    205
 1989    223    133    115     97    466    303    268    235
 1990    264    150    126    103    409    254    220    188
 1991    285    164    140    118    468    290    252    217
 1992    252    130    107     87    365    217    188    162
 1993    110     48     37     29    336    191    163    137
 1994    227    126    106     87    439    285    253    223
 1995    253    155    135    117    339    193    165    138
 1996    131     60     46     36    391    243    211    185
 1997    232    120     97     78    317    182    155    130
 1998    145     87     78     70    340    186    158    133
 1999    154     76     61     47    388    224    194    167
     ****************************  *************************** 
 MEAN  178.3   94.5   78.9   65.2  407.9  252.7  220.5  190.8
 STDV   74.0   47.6   42.1   37.1   78.6   63.0   58.4   53.8
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    734    513    460    409    803    567    509    454
 1952    670    447    400    355   1029    789    730    671
 1953    659    447    401    356   1047    807    747    687
 1954    546    355    316    278    990    752    693    636
 1955    756    516    461    412    837    597    541    487
 1956    798    576    525    477   1002    766    709    652
 1957    681    453    402    354    921    682    624    567
 1958    741    514    465    417    855    615    556    498
 1959    767    539    485    432    964    724    664    605
 1960    645    430    380    334    871    632    574    516
 1961    598    395    351    312    901    662    607    555
 1962    898    656    599    543    910    670    613    558
 1963    693    466    410    363   1007    767    707    647
 1964    819    577    521    468    903    668    611    555
 1965    843    600    543    490    878    638    579    522
 1966    586    393    352    315    844    612    556    502
 1967    596    383    340    300    875    635    579    523
 1968    592    385    339    298    978    738    680    625
 1969    728    506    456    407    853    618    562    507
 1970    826    588    533    479    951    711    651    592
 1971    629    409    359    316   1070    830    770    710
 1972    724    498    447    398    929    690    633    578
 1973    625    404    354    310    977    737    677    617
 1974    699    471    421    372    827    591    534    478
 1975    783    544    491    440    957    717    657    597
 1976    596    392    347    308    936    696    637    578
 1977    875    637    580    523    999    759    699    639
 1978    658    438    390    345    932    693    635    580
 1979    681    472    423    376    900    662    604    546
 1980    713    486    437    393    891    651    592    535
 1981    588    381    336    294    945    705    645    585
 1982    770    527    472    419    777    542    486    433
 1983    549    348    305    266    955    719    661    605
 1984    575    370    326    286    979    739    679    619
 1985    752    512    457    407    836    598    542    488
 1986    712    481    429    381    998    758    698    639
 1987    850    609    555    504    976    737    678    620
 1988    809    568    515    465    980    740    682    626
 1989    649    443    396    350    870    632    575    518
 1990    569    351    304    262    946    706    647    589
 1991    840    612    556    501   1003    763    703    643
 1992    689    470    422    378    885    647    588    530
 1993    710    472    417    366    893    658    601    545
 1994    683    460    414    371    961    721    661    604
 1995    576    350    302    259    923    683    623    563
 1996    633    409    359    313    915    676    617    560
 1997    548    346    303    265    938    698    639    580
 1998    789    545    489    434    854    618    561    507
 1999    658    427    376    329    893    654    597    541
     ****************************  *************************** 
 MEAN  696.3  473.1  423.1  376.4  926.1  687.4  629.1  571.9
 STDV   94.9   83.6   79.6   75.0   64.9   63.9   63.0   61.5
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1028    780    718    657   1007    759    697    635
 1952   1070    822    760    698    966    718    656    596
