 
 THIS IS FOR STATION NUMBER 6103 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        0.98   0.40  43(61) 10(14) 17(24)  0( 0)  0( 0)    7       70
  2 3/8-->3/14       1.31   0.49  49(63) 10(12) 15(19)  3( 3)  0( 0)    7       77
  3 3/15-->3/21      1.32   0.38  53(68)  9(11) 12(15)  3( 3)  0( 0)    9       77
  4 3/22-->3/28      2.06   0.56  46(58) 15(19) 10(12)  6( 7)  1( 1)    7       78
  5 3/29-->4/4       1.43   0.56  49(53) 23(25) 15(16)  4( 4)  0( 0)    4       91
  6 4/5-->4/11       2.00   0.50  59(64) 19(20)  8( 8)  4( 4)  1( 1)    0       91
  7 4/12-->4/18      1.47   0.76  49(49) 20(20) 23(23)  7( 7)  0( 0)    1       99
  8 4/19-->4/25      2.80   0.88  52(48) 26(24) 21(19)  6( 5)  2( 1)    0      107
  9 4/26-->5/2       2.74   0.91  52(47) 25(22) 21(19) 10( 9)  1( 0)    0      109
 10 5/3-->5/9        1.60   0.74  54(52) 19(18) 22(21)  8( 7)  0( 0)    0      103
 11 5/10-->5/16      1.94   0.91  63(52) 26(21) 23(19)  9( 7)  0( 0)    0      121
 12 5/17-->5/23      1.92   0.79  48(47) 26(25) 17(16) 10( 9)  0( 0)    0      101
 13 5/24-->5/30      3.00   1.29  69(52) 19(14) 23(17) 16(12)  5( 3)    0      132
 14 5/31-->6/6       2.96   0.73  47(52) 19(21) 16(17)  6( 6)  2( 2)    2       90
 15 6/7-->6/13       2.47   1.00  67(53) 26(20) 20(15) 11( 8)  2( 1)    1      126
 16 6/14-->6/20      5.06   1.33  54(45) 26(21) 20(16) 13(10)  7( 5)    1      120
 17 6/21-->6/27      3.70   1.17  41(38) 23(21) 25(23) 14(13)  3( 2)    0      106
 18 6/28-->7/4       2.21   0.83  44(48) 19(20) 14(15) 12(13)  2( 2)    4       91
 19 7/5-->7/11       3.28   1.05  34(40) 17(20) 16(18) 12(14)  6( 7)    8       85
 20 7/12-->7/18      2.98   0.95  44(47) 17(18) 17(18) 11(11)  3( 3)    8       92
 21 7/19-->7/25      3.14   1.11  52(50) 17(16) 16(15) 11(10)  7( 6)    7      103
 22 7/26-->8/1       3.56   0.92  51(52) 23(23) 12(12)  7( 7)  5( 5)    7       98
 23 8/2-->8/8        2.79   1.09  61(54) 15(13) 19(17) 11( 9)  5( 4)    8      111
 24 8/9-->8/15       3.05   0.71  44(57) 11(14) 10(12)  8(10)  4( 5)    7       77
 25 8/16-->8/22      6.65   0.97  40(45) 17(19) 21(24)  5( 5)  4( 4)    8       87
 26 8/23-->8/29      3.02   1.12  44(43) 19(18) 22(21) 11(10)  5( 4)   14      101
 27 8/30-->9/5       4.47   0.75  56(58) 14(14) 17(17)  8( 8)  1( 1)    4       96
 28 9/6-->9/12       2.79   0.66  49(56) 17(19) 13(15)  5( 5)  2( 2)    0       86
 29 9/13-->9/19      3.70   0.89  57(61) 10(10) 13(13)  9( 9)  4( 4)    0       93
 30 9/20-->9/26      2.07   0.82  58(53) 22(20) 20(18)  7( 6)  1( 0)    6      108
 31 9/27-->10/3      2.58   0.64  43(53) 12(14) 20(24)  4( 4)  2( 2)    5       81
 32 10/4-->10/10     1.63   0.57  51(58) 15(17) 17(19)  4( 4)  0( 0)    0       87
 33 10/11-->10/17    2.13   0.47  36(59)  9(14) 10(16)  5( 8)  1( 1)    0       61
 34 10/18-->10/24    2.30   0.44  40(58) 14(20) 10(14)  3( 4)  1( 1)    0       68
 35 10/25-->10/31    1.66   0.42  41(62) 10(15) 11(16)  4( 6)  0( 0)    0       66
 36 11/1-->11/7      1.95   0.34  39(63) 11(18)  8(13)  3( 4)  0( 0)    0       61
 37 11/8-->11/14     1.92   0.30  40(71)  7(12)  7(12)  2( 3)  0( 0)    0       56
 38 11/15-->11/21    1.76   0.49  34(52) 13(20) 10(15)  8(12)  0( 0)    1       65
 39 11/22-->11/28    1.38   0.35  44(63) 16(23)  8(11)  1( 1)  0( 0)    0       69
 40 11/29-->12/5     1.62   0.28  46(77)  3( 5)  7(11)  3( 5)  0( 0)    6       59
 41 12/6-->12/12     1.00   0.23  48(77)  7(11)  6( 9)  1( 1)  0( 0)    7       62
 42 12/13-->12/19    0.98   0.22  38(69) 13(23)  4( 7)  0( 0)  0( 0)    8       55
 43 12/20-->12/26    0.77   0.20  50(81)  7(11)  4( 6)  0( 0)  0( 0)    8       61
 44 12/27-->1/2      1.27   0.24  45(75)  8(13)  5( 8)  2( 3)  0( 0)    5       60
 45 1/3-->1/9        1.80   0.19  50(84)  5( 8)  3( 5)  1( 1)  0( 0)    2       59
 46 1/10-->1/16      0.94   0.18  48(84)  5( 8)  4( 7)  0( 0)  0( 0)    0       57
 47 1/17-->1/23      0.92   0.25  46(74)  7(11)  9(14)  0( 0)  0( 0)    3       62
 48 1/24-->1/30      0.94   0.23  50(76) 11(16)  4( 6)  0( 0)  0( 0)    1       65
 49 1/31-->2/6       0.80   0.15  40(83)  6(12)  2( 4)  0( 0)  0( 0)   12       48
 50 2/7-->2/13       0.92   0.13  36(81)  4( 9)  4( 9)  0( 0)  0( 0)   14       44
 51 2/14-->2/20      1.00   0.22  31(68)  6(13)  7(15)  1( 2)  0( 0)   14       45
 52 2/21-->2/27      0.91   0.19  40(74)  9(16)  5( 9)  0( 0)  0( 0)   15       54
 53 2/28-->2/29      0.16   0.01   8(**)  0( 0)  0( 0)  0( 0)  0( 0)    3        8
 ANNUAL TOTALS       6.65   2473(57)757(17)683(15)289( 6) 77( 1)  224     4279
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER 6103
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.90 0.70 2.03 3.16 4.05 4.64 4.27 4.24 3.33 2.09 1.59 1.01 32.00  <-- PRECIP
  
   13.8 20.3 31.5 47.2 60.3 70.2 73.9 71.6 62.4 50.8 34.0 20.3  50.9  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8     19  1990     6.65
   6     15  1978     5.06
   8     31  1962     4.47
   8     22  1959     4.00
   6     26  1969     3.70
   9     13  1978     3.70
   7     29  1990     3.56
   9     19  1983     3.45
   7      5  1955     3.28
   6     19  1954     3.17
   7     19  1963     3.14
   8     22  1975     3.15
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  6103
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      1      0      0      0    147     75     64     54
 1952     21      9      6      4    339    224    200    178
 1953     96     35     24     15    148     59     47     37
 1954     29      5      2      1    365    226    197    171
 1955     66     23     15     11    430    272    241    213
 1956     21      2      0      0    237    135    112     92
 1957     66     15      8      4    333    207    184    165
 1958     55     14     10      6    312    181    151    126
 1959     44     11      7      5    313    182    157    134
 1960     24      5      2      1    332    199    177    156
 1961     36      6      3      0    167     72     56     42
 1962     14      4      3      2    263    156    137    122
 1963    142     91     81     71    358    206    173    146
 1964     49     15     11      7    290    164    140    120
 1965      0      0      0      0    198    104     87     73
 1966    158     73     59     46    182     82     66     53
 1967    135     78     66     54    301    168    139    111
 1968    244    151    131    115    367    228    199    170
 1969     18      1      0      0    325    187    159    134
 1970     14      2      1      0    318    196    171    150
 1971     35     15     12     10    355    228    201    175
 1972     60     17     12      9    227    115     95     76
 1973    130     55     41     29    249    136    114     94
 1974     53     17     12      8    350    204    178    153
 1975     12      0      0      0    159     70     54     40
 1976    118     64     54     45    408    257    223    190
 1977    180     88     70     55    505    348    313    282
 1978    102     58     49     41    259    135    109     84
 1979     13      0      0      0    212    108     91     75
 1980     51     16     11      7    343    212    187    166
 1981    182     86     70     57    409    249    217    190
 1982     50     17     12      8    252    156    135    114
 1983     72     28     21     16    176     98     85     73
 1984     21      1      0      0    252    123     96     73
 1985    141     65     51     38    458    304    274    245
 1986    151     92     82     72    392    240    206    174
 1987    151     74     62     51    477    324    293    264
 1988    109     40     27     17    315    184    157    134
 1989     69     35     29     24    262    142    121    102
 1990    135     58     44     33    304    182    158    135
 1991     76     30     24     18    303    172    146    123
 1992     85     28     21     14    167     84     69     55
 1993     12      1      0      0    175     83     68     55
 1994     87     39     31     24    283    180    156    134
 1995    102     43     33     26    168     86     68     53
 1996     57     15     11      9    181    100     85     72
 1997     55     19     16     14    226    132    110     89
 1998     74     38     33     28    291    162    138    114
 1999     81     30     22     17    228    114     92     72
     ****************************  *************************** 
 MEAN   75.8   33.0   26.3   20.8  288.3  168.7  145.1  123.8
 STDV   55.7   33.1   28.5   24.4   90.5   68.8   63.5   58.5
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    670    454    404    357    706    477    424    373
 1952    523    332    291    254    921    685    627    570
 1953    560    372    333    296    914    677    620    566
 1954    466    301    263    229    879    647    592    537
 1955    684    467    423    384    765    535    482    433
 1956    615    415    371    333    950    715    658    602
 1957    556    353    311    273    824    587    528    473
 1958    653    452    408    366    711    480    432    387
 1959    656    449    404    360    888    648    591    537
 1960    607    399    350    306    792    557    502    451
 1961    526    337    299    263    861    625    570    519
 1962    728    500    447    395    850    611    555    500
 1963    591    388    345    304    932    693    635    580
 1964    741    513    464    417    865    634    579    526
 1965    677    455    403    358    851    611    554    500
 1966    507    337    303    270    859    623    566    512
 1967    484    309    271    236    836    598    542    487
 1968    468    293    257    225    846    611    555    502
 1969    624    424    381    338    642    424    374    329
 1970    656    451    404    360    883    646    590    534
 1971    523    344    307    273    974    734    675    616
 1972    668    455    407    362    821    596    544    494
 1973    528    330    289    253    917    677    617    558
 1974    514    323    284    249    802    566    512    461
 1975    702    475    427    383    865    626    569    516
 1976    595    393    349    307    901    662    604    548
 1977    870    632    576    523    908    669    610    552
 1978    654    450    406    364    880    646    588    532
 1979    577    387    348    310    851    615    558    502
 1980    692    482    436    393    882    646    589    535
 1981    572    368    325    286    875    635    575    517
 1982    670    446    394    345    720    487    437    388
 1983    471    298    263    229    861    626    570    516
 1984    564    360    318    279    901    661    601    543
 1985    769    532    477    429    774    541    486    433
 1986    651    433    383    336    935    697    639    582
 1987    797    571    519    472    966    729    671    613
 1988    776    552    504    458    975    738    681    624
 1989    565    373    332    294    788    560    507    455
 1990    465    274    236    204    843    613    558    504
 1991    651    446    401    357    944    704    644    584
 1992    587    392    351    312    759    530    479    429
 1993    487    286    245    208    729    500    446    392
 1994    601    404    363    325    875    635    577    521
 1995    470    281    243    209    860    627    571    516
 1996    428    241    204    169    791    554    498    446
 1997    364    210    181    153    866    626    569    515
 1998    705    474    422    379    718    491    438    386
 1999    564    346    302    259    780    546    492    439
     ****************************  *************************** 
 MEAN  601.7  399.4  355.9  315.5  847.9  613.0  557.1  503.0
 STDV  105.0   88.4   83.2   78.3   76.4   73.0   70.8   68.2
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    929    681    621    561    842    595    535    479
 1952    958    710    649    593    773    539    488    438
 1953    964    717    658    600    926    679    619    559
