 
 THIS IS FOR STATION NUMBER 3438 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.14   0.46  49(59) 21(25) 10(12)  3( 3)  0( 0)    7       83
  2 3/8-->3/14       1.35   0.49  43(55) 16(20) 14(17)  5( 6)  0( 0)    7       78
  3 3/15-->3/21      1.47   0.42  49(65) 11(14) 11(14)  4( 5)  0( 0)    7       75
  4 3/22-->3/28      3.04   0.57  51(62) 15(18)  8( 9)  6( 7)  2( 2)    9       82
  5 3/29-->4/4       1.81   0.71  56(57) 16(16) 16(16) 10(10)  0( 0)   11       98
  6 4/5-->4/11       1.62   0.53  62(63) 18(18) 14(14)  4( 4)  0( 0)   14       98
  7 4/12-->4/18      2.17   0.89  68(56) 27(22) 16(13)  8( 6)  2( 1)   15      121
  8 4/19-->4/25      3.26   0.87  65(55) 25(21) 17(14)  9( 7)  1( 0)   14      117
  9 4/26-->5/2       2.84   1.00  65(57) 17(14) 16(14) 13(11)  3( 2)   14      114
 10 5/3-->5/9        2.00   0.91  66(54) 24(19) 19(15) 12( 9)  1( 0)   14      122
 11 5/10-->5/16      2.35   0.73  51(49) 26(25) 21(20)  3( 2)  2( 1)   14      103
 12 5/17-->5/23      3.00   1.12  55(45) 29(23) 24(19)  9( 7)  5( 4)   14      122
 13 5/24-->5/30      2.72   1.07  64(52) 24(19) 20(16) 13(10)  2( 1)   15      123
 14 5/31-->6/6       2.47   0.79  60(57) 19(18) 14(13)  9( 8)  2( 1)   14      104
 15 6/7-->6/13       2.73   1.20  59(49) 19(15) 24(20) 12(10)  6( 5)   14      120
 16 6/14-->6/20      3.73   1.07  55(49) 23(20) 18(16) 12(10)  4( 3)   14      112
 17 6/21-->6/27      2.96   0.95  50(51) 18(18) 17(17)  9( 9)  4( 4)   14       98
 18 6/28-->7/4       2.91   1.16  40(42) 20(21) 16(16) 12(12)  7( 7)    6       95
 19 7/5-->7/11       2.96   1.06  49(48) 18(17) 19(18) 10( 9)  5( 4)    0      101
 20 7/12-->7/18      4.38   1.13  41(42) 19(19) 19(19) 13(13)  4( 4)    0       96
 21 7/19-->7/25      3.30   0.74  52(54) 24(25)  8( 8)  9( 9)  2( 2)    0       95
 22 7/26-->8/1       1.95   0.77  47(53)  9(10) 20(22) 12(13)  0( 0)    0       88
 23 8/2-->8/8        4.11   0.98  55(51) 24(22) 14(13)  7( 6)  6( 5)    0      106
 24 8/9-->8/15       3.15   0.74  47(52) 20(22) 13(14)  7( 7)  3( 3)    0       90
 25 8/16-->8/22      3.10   0.82  44(47) 22(23) 13(14) 11(11)  2( 2)    0       92
 26 8/23-->8/29      5.30   0.89  49(52) 18(19) 15(16)  8( 8)  3( 3)    0       93
 27 8/30-->9/5       3.75   1.08  44(44) 20(20) 18(18) 14(14)  3( 3)    0       99
 28 9/6-->9/12       6.00   0.95  41(50) 22(27)  6( 7)  5( 6)  7( 8)    0       81
 29 9/13-->9/19      8.00   1.04  50(49) 19(18) 19(18) 11(10)  3( 2)    0      102
 30 9/20-->9/26      2.22   0.76  57(59) 14(14) 12(12) 11(11)  2( 2)    0       96
 31 9/27-->10/3      2.15   0.55  38(52) 15(20) 15(20)  4( 5)  1( 1)    3       73
 32 10/4-->10/10     1.49   0.53  46(56) 15(18) 15(18)  5( 6)  0( 0)    7       81
 33 10/11-->10/17    3.15   0.54  35(53) 14(21)  9(13)  5( 7)  2( 3)    7       65
 34 10/18-->10/24    2.19   0.55  39(52) 18(24) 13(17)  3( 4)  2( 2)    7       75
 35 10/25-->10/31    3.03   0.51  52(67)  9(11) 10(12)  5( 6)  1( 1)    8       77
 36 11/1-->11/7      2.22   0.61  49(59) 14(16) 12(14)  6( 7)  2( 2)    0       83
 37 11/8-->11/14     1.34   0.35  46(68)  8(11) 10(14)  3( 4)  0( 0)    0       67
 38 11/15-->11/21    1.69   0.47  36(54) 13(19) 13(19)  4( 6)  0( 0)    0       66
 39 11/22-->11/28    1.38   0.27  42(68) 12(19)  5( 8)  2( 3)  0( 0)    0       61
 40 11/29-->12/5     1.70   0.28  40(70)  8(14)  7(12)  2( 3)  0( 0)    5       57
 41 12/6-->12/12     1.15   0.24  53(79)  8(11)  4( 5)  2( 2)  0( 0)    7       67
 42 12/13-->12/19    1.43   0.23  47(78)  8(13)  3( 5)  2( 3)  0( 0)    7       60
 43 12/20-->12/26    1.08   0.23  38(67) 12(21)  5( 8)  1( 1)  0( 0)    7       56
 44 12/27-->1/2      1.81   0.25  50(75) 11(16)  4( 6)  1( 1)  0( 0)    5       66
 45 1/3-->1/9        1.03   0.17  44(83)  5( 9)  3( 5)  1( 1)  0( 0)    0       53
 46 1/10-->1/16      1.39   0.19  31(67) 12(26)  2( 4)  1( 2)  0( 0)    1       46
 47 1/17-->1/23      0.89   0.27  47(71) 12(18)  7(10)  0( 0)  0( 0)    2       66
 48 1/24-->1/30      0.80   0.17  51(85)  6(10)  3( 5)  0( 0)  0( 0)    0       60
 49 1/31-->2/6       1.25   0.20  36(72)  9(18)  4( 8)  1( 2)  0( 0)   13       50
 50 2/7-->2/13       1.25   0.20  37(75)  8(16)  2( 4)  2( 4)  0( 0)   14       49
 51 2/14-->2/20      1.56   0.33  48(67) 14(19)  7( 9)  2( 2)  0( 0)   14       71
 52 2/21-->2/27      2.25   0.32  45(69) 13(20)  4( 6)  2( 3)  1( 1)   14       65
 53 2/28-->2/29      0.53   0.03   7(77)  1(11)  1(11)  0( 0)  0( 0)    4        9
 ANNUAL TOTALS       8.00   2541(57)842(19)629(14)325( 7) 90( 2)  342     4427
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER 3438
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.88 1.08 2.26 3.44 4.14 4.42 4.32 3.80 3.92 2.28 1.81 1.04 33.39  <-- PRECIP
  
   21.2 27.3 37.8 51.9 63.1 72.6 77.1 74.8 66.5 55.2 39.3 26.8  55.9  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   9     15  1992     8.00
   9     11  1972     6.00
   8     28  1977     5.30
   8     26  1987     4.49
   7     14  1986     4.38
   8      5  1982     4.11
   9     12  1961     3.81
   9      5  1964     3.75
   6     14  1976     3.73
   9     12  1972     3.56
   7     15  1984     3.44
   4     21  1974     3.26
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  3438
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     42     16     12      9    245    129    109     92
 1952     89     43     36     30    385    240    212    185
 1953    174     87     69     52    247    126    103     84
 1954    106     36     25     17    486    311    274    241
 1955    149     80     67     54    545    351    310    275
 1956    147     65     52     42    336    215    188    165
 1957    129     59     47     40    385    230    199    174
 1958     58     16     10      7    364    209    177    147
 1959    130     61     49     39    354    222    194    169
 1960     26      8      5      3    403    250    219    189
 1961    108     43     32     23    266    153    131    111
 1962     58     30     26     23    343    206    180    158
 1963    212    122    109     97    439    278    244    211
 1964    133     65     53     41    391    244    215    186
 1965     17      4      2      1    356    221    194    167
 1966    235    140    120    100    294    171    146    123
 1967    267    174    153    133    438    275    242    210
 1968    324    211    188    165    436    277    243    213
 1969     83     44     37     30    412    261    229    198
 1970     82     27     20     13    443    289    258    229
 1971    132     70     59     48    442    287    255    224
 1972    199    115     97     81    404    251    220    192
 1973    181     68     50     35    362    219    190    162
 1974    228    128    108     91    451    288    251    218
 1975     93     50     42     36    336    196    167    143
 1976    197    105     88     74    495    327    290    254
 1977    262    142    118     98    564    382    341    302
 1978    133     78     66     56    368    218    189    163
 1979    111     49     37     29    309    183    157    135
 1980    125     57     43     32    417    271    240    211
 1981    262    143    119     96    598    404    363    323
 1982    137     54     40     28    341    215    189    165
 1983    158     86     73     61    244    137    119    101
 1984     59     10      6      4    294    158    132    108
 1985    243    134    111     89    536    360    323    289
 1986    278    172    154    138    481    316    281    246
 1987    245    137    117     99    507    341    307    276
 1988    267    170    149    128    411    268    237    207
 1989    204    126    109     92    482    323    286    251
 1990    223    123    103     87    395    243    210    179
 1991    262    158    135    115    417    256    221    187
 1992    252    133    112     93    340    204    180    159
 1993    103     49     41     35    290    166    141    120
 1994    241    144    124    107    438    297    268    239
 1995    220    130    111     93    311    187    159    134
 1996    146     70     57     46    380    249    220    194
 1997    230    126    104     85    312    188    162    138
 1998    124     71     62     54    387    225    193    164
 1999    204    111     90     75    379    223    195    169
     ****************************  *************************** 
 MEAN  165.3   88.8   74.5   61.9  393.3  245.9  215.6  187.6
 STDV   76.3   51.3   45.6   40.0   83.4   64.9   60.2   55.4
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    675    454    403    355    753    521    465    410
 1952    641    423    374    328   1015    775    716    657
 1953    625    418    374    332    987    748    689    630
 1954    534    347    307    270    956    719    662    605
 1955    697    464    417    373    800    567    513    462
 1956    688    475    431    387    999    761    703    646
 1957    613    399    354    312    892    656    598    541
 1958    749    521    472    425    830    592    536    482
 1959    702    474    423    374    954    714    655    598
 1960    649    439    390    341    853    614    555    498
 1961    556    352    311    270    847    610    556    504
 1962    865    626    571    517    886    647    588    531
 1963    681    461    412    367   1001    761    701    642
 1964    811    572    518    467    912    675    618    562
 1965    792    565    511    458    865    625    565    506
 1966    594    410    369    332    846    614    558    503
 1967    567    386    346    307    865    631    575    521
 1968    579    392    352    313    954    716    658    602
 1969    701    485    436    388    803    575    521    471
 1970    809    581    528    477    925    685    626    568
 1971    579    377    331    288   1021    781    721    663
 1972    670    448    401    357    908    669    611    555
 1973    635    419    369    325    959    719    659    600
 1974    675    454    406    360    846    610    555    503
 1975    757    536    488    443    916    677    618    561
 1976    625    425    382    341    916    677    620    565
 1977    894    655    596    538    993    753    693    635
 1978    650    438    392    349    949    713    655    598
 1979    666    462    418    376    909    672    615    560
 1980    724    506    456    412    914    676    618    562
 1981    630    421    378    337    940    700    640    582
 1982    742    503    447    394    800    565    510    458
 1983    576    379    339    302    946    711    654    597
 1984    588    389    346    304    956    716    657    598
 1985    781    540    486    435    847    612    557    504
 1986    741    504    452    403   1007    767    707    648
 1987    832    592    536    485    992    753    694    637
 1988    835    593    538    486   1000    760    702    644
 1989    686    474    426    381    858    620    565    511
 1990    568    360    315    271    954    715    656    597
 1991    806    578    524    473    980    740    680    620
 1992    686    474    428    382    865    626    567    510
 1993    656    428    378    332    860    624    567    512
 1994    709    491    443    398    948    708    649    590
 1995    546    331    289    248    894    654    596    539
 1996    590    371    323    280    914    678    620    563
 1997    546    353    313    276    947    707    648    590
 1998    831    588    531    476    847    615    561    508
 1999    663    430    380    332    909    670    611    554
     ****************************  *************************** 
 MEAN  682.2  464.9  416.7  371.2  913.3  675.7  617.9  561.5
 STDV   93.3   80.2   75.8   71.5   65.0   63.1   61.8   60.0
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    996    748    686    624    987    739    677    616
 1952   1028    780    718    657    941    693    631    571
 1953   1054    806    744    685   1029    781    719    657
 1954   1145    897    835    773   1016    768    706    644
 1955   1156    908    846    784   1085    837    775    714
 1956    992    744    682    621   1003    757    698    639
 1957   1144    896    834    772   1042    794    732    671
 1958    953    705    643    582   1002    756    696    636
 1959    994    746    685    626   1092    844    782    720
 1960   1012    764    702    641   1026    778    716    654
 1961   1014    766    704    642   1001    753    691    629
 1962   1012    764    702    642   1013    765    703    642
 1963   1096    848    786    724    990    742    680    620
 1964   1093    845    783    721    895    649    589    531
 1965   1032    784    722    660    977    730    669    609
 1966   1104    856    794    732    913    667    607    549
 1967    969    724    665    609    948    705    649    595
 1968   1043    795    733    672   1014    766    704    642
 1969   1095    847    785    723   1031    783    721    659
 1970   1052    804    743    684   1035    787    725    664
 1971    980    735    676    617    986    741    680    620
 1972   1030    785    724    665    992    744    683    622
 1973   1045    797    735    674   1054    806    744    682
 1974   1145    897    835    773    942    694    632    572
 1975   1080    832    770    709   1090    842    780    718
 1976   1085    837    775    713   1005    757    697    637
 1977   1133    885    823    761    978    730    669    609
 1978   1066    818    756    694   1009    763    703    644
 1979   1039    791    729    667   1020    772    710    648
 1980   1125    877    815    753   1081    833    771    709
 1981   1024    776    714    654    902    661    604    548
 1982   1093    845    783    721    985    737    675    615
 1983   1135    887    825    763   1164    916    854    792
 1984   1039    791    729    668   1054    806    744    684
 1985   1058    810    748    686    909    661    600    541
 1986   1113    865    803    741    917    673    614    556
 1987   1107    859    797    735    949    701    639    579
 1988   1075    827    765    703   1089    842    782    722
 1989   1067    819    757    695   1012    764    703    642
 1990   1029    781    719    657   1021    773    711    650
 1991   1039    791    729    667   1009    761    699    638
 1992    947    699    637    576    849    602    545    490
 1993   1029    781    719    657   1032    784    722    661
 1994    988    740    678    616    972    725    665    607
 1995   1064    816    755    695   1125    877    815    753
 1996   1002    754    692    631    988    740    678    616
 1997   1072    824    762    701    998    750    688    626
 1998   1091    843    781    719   1070    822    760    698
 1999   1136    888    826    764    998    750    688    626
     ****************************  *************************** 
 MEAN 1057.8  810.0  748.2  686.9 1005.1  757.8  696.7  636.3
 STDV   54.2   53.9   53.7   53.2   61.2   60.6   59.8   58.5
 
               SEPTEMBER                   OCTOBER
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    573    387    345    305      0      0      0      0
 1952    792    571    520    472     70     46     40     35
 1953    790    571    524    478    593    420    381    344
 1954    827    595    542    490    427    256    219    187
 1955    818    591    539    489    356    235    207    182
 1956    742    531    485    440    632    423    378    337
 1957    648    428    379    334    320    177    149    123
 1958    760    535    483    435      0      0      0      0
 1959    697    482    432    386    329    182    152    124
 1960    778    552    500    451    345    229    205    182
 1961    650    440    391    345    343    225    200    177
 1962    685    474    427    383    467    303    267    233
 1963    791    560    505    450    738    519    468    418
 1964    713    494    444    394    121     76     67     59
 1965    650    434    386    342    426    284    253    224
 1966    682    469    424    381    302    214    192    172
 1967    689    480    434    390    200    132    115    102
 1968    727    497    443    396     68     48     43     38
 1969    781    551    499    449    252    173    156    139
 1970    750    525    474    427    412    256    220    186
 1971    821    594    544    495    599    406    362    320
 1972    772    551    498    447    293    187    165    146
 1973    738    507    452    398    600    397    352    311
 1974    656    455    410    370      9      5      4      3
 1975    650    439    391    344    483    342    309    278
 1976    764    543    495    448    145     97     86     75
 1977    807    571    516    463    176    102     87     73
 1978    887    657    603    551    454    287    250    215
 1979    831    605    555    505    204    141    127    115
 1980    809    586    533    482     62     40     35     30
 1981    695    494    450    409     11      7      6      5
 1982    760    541    490    440    341    221    197    175
 1983    832    613    561    511    459    282    248    217
 1984    724    521    473    428      0      0      0      0
 1985    741    532    484    437      0      0      0      0
 1986    846    611    554    499    184    106     91     76
 1987    752    517    466    418    148     99     88     77
 1988    807    574    521    470     55     33     29     25
 1989    692    479    432    386    307    208    186    166
 1990    855    632    579    528    380    246    218    193
 1991    779    572    523    475    306    205    184    164
 1992    709    498    450    402    274    178    156    136
 1993    596    387    342    301    196    137    123    110
 1994    787    563    511    461    437    280    243    209
 1995    537    382    347    312      0      0      0      0
 1996    682    463    417    373    490    318    280    244
 1997    818    585    531    481    453    320    290    261
 1998    931    694    637    582    512    327    288    251
 1999    703    490    444    402     35     23     20     17
     ****************************  *************************** 
 MEAN  745.6  527.3  477.4  430.0  286.2  187.9  166.3  146.2
 STDV   80.0   69.7   66.7   63.4  199.3  134.3  120.0  106.7
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1999 FOR STATION NUMBER 3438
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  54 -17  62 -15  76 -17  80  18  89  28  89  41  99  48  99  53  96  40  92  28  76  15  64   0
  2  56 -14  64 -26  75  -3  85  13  89  24  88  41  98  49  97  52  94  42  92  22  77   9  64  -3
  3  54 -12  57 -25  78   2  84   7  88  27  94  39  98  47  97  50  94  39  93  29  75   6  64  -6
  4  51 -18  55 -20  75 -13  79  18  88  28  92  40  98  43 100  46  95  42  92  27  74   1  64   0
  5  63 -17  61 -16  67 -20  83  17  90  30 101  44  98  43  96  49  93  39  92  27  68  10  65   1
  6  50 -15  59 -15  71 -14  89  10  89  31  98  43  99  50  95  52  95  40  90  22  76   7  63  -9
