 
 THIS IS FOR STATION NUMBER 1731 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        3.43   0.59  70(64) 22(20) 12(11)  3( 2)  1( 0)    0      108
  2 3/8-->3/14       1.63   0.58  54(56) 19(20) 15(15)  7( 7)  0( 0)    0       95
  3 3/15-->3/21      1.35   0.48  61(64) 19(20) 12(12)  2( 2)  0( 0)    0       94
  4 3/22-->3/28      1.76   0.57  83(69) 16(13) 16(13)  4( 3)  0( 0)    0      119
  5 3/29-->4/4       2.65   0.72  72(62) 21(18) 16(13)  6( 5)  1( 0)    1      116
  6 4/5-->4/11       1.58   0.68  68(60) 21(18) 16(14)  7( 6)  0( 0)    0      112
  7 4/12-->4/18      3.22   0.92  71(56) 22(17) 22(17)  9( 7)  2( 1)    0      126
  8 4/19-->4/25      3.75   1.11  76(55) 25(18) 23(16) 10( 7)  3( 2)    0      137
  9 4/26-->5/2       1.60   0.90  68(52) 29(22) 23(17) 10( 7)  0( 0)    0      130
 10 5/3-->5/9        2.38   0.95  85(62) 20(14) 18(13) 12( 8)  2( 1)    0      137
 11 5/10-->5/16      3.90   1.05  80(60) 17(12) 23(17) 10( 7)  3( 2)    0      133
 12 5/17-->5/23      3.30   0.95  72(56) 31(24) 14(10)  8( 6)  3( 2)    0      128
 13 5/24-->5/30      3.29   1.14  79(54) 29(20) 16(11) 19(13)  1( 0)    5      144
 14 5/31-->6/6       4.65   0.82  74(60) 19(15) 22(18)  6( 4)  1( 0)    2      122
 15 6/7-->6/13       3.00   1.26  76(55) 18(13) 23(16) 16(11)  4( 2)    0      137
 16 6/14-->6/20      2.68   1.01  54(51) 14(13) 17(16) 16(15)  3( 2)    0      104
 17 6/21-->6/27      2.42   0.86  60(54) 23(20) 16(14) 10( 9)  2( 1)    0      111
 18 6/28-->7/4       2.36   1.01  56(50) 18(16) 16(14) 19(17)  1( 0)    0      110
 19 7/5-->7/11       3.22   1.20  48(42) 27(24) 15(13) 19(16)  3( 2)    0      112
 20 7/12-->7/18      2.76   0.96  56(53) 16(15) 20(19) 11(10)  2( 1)    0      105
 21 7/19-->7/25      3.36   0.92  60(53) 20(17) 22(19)  8( 7)  3( 2)    0      113
 22 7/26-->8/1       2.05   0.82  54(52) 17(16) 19(18) 11(10)  1( 0)    0      102
 23 8/2-->8/8        4.90   1.08  64(52) 23(19) 21(17) 10( 8)  3( 2)    0      121
 24 8/9-->8/15       2.73   0.84  59(57) 19(18)  9( 8) 10( 9)  5( 4)    1      102
 25 8/16-->8/22      2.54   0.92  43(46) 17(18) 19(20) 12(12)  2( 2)    0       93
 26 8/23-->8/29      4.51   0.85  49(56) 13(15) 12(13)  6( 6)  6( 6)    0       86
 27 8/30-->9/5       5.64   0.98  52(54) 14(14) 16(16) 10(10)  3( 3)    0       95
 28 9/6-->9/12       2.25   0.72  55(58) 15(15) 16(17)  6( 6)  2( 2)    0       94
 29 9/13-->9/19      5.56   1.16  62(53) 20(17) 17(14) 13(11)  4( 3)    0      116
 30 9/20-->9/26      2.51   0.98  49(48) 16(15) 22(21) 12(11)  3( 2)    0      102
 31 9/27-->10/3      3.75   0.66  49(59) 10(12) 16(19)  6( 7)  2( 2)    0       83
 32 10/4-->10/10     3.25   0.87  54(55) 21(21)  9( 9)  8( 8)  5( 5)    0       97
 33 10/11-->10/17    2.32   0.67  50(58) 12(13) 14(16)  6( 6)  4( 4)    0       86
 34 10/18-->10/24    1.80   0.75  46(48) 19(20) 18(19) 11(11)  0( 0)    0       94
 35 10/25-->10/31    2.48   0.61  46(51) 22(24) 18(20)  3( 3)  1( 1)    0       90
 36 11/1-->11/7      1.76   0.55  72(68) 12(11) 14(13)  7( 6)  0( 0)    7      105
 37 11/8-->11/14     2.17   0.52  60(63) 13(13) 17(18)  3( 3)  1( 1)    7       94
 38 11/15-->11/21    2.20   0.65  50(54) 19(20) 17(18)  3( 3)  2( 2)    7       91
 39 11/22-->11/28    1.81   0.50  76(70) 16(14) 14(12)  2( 1)  0( 0)    7      108
 40 11/29-->12/5     1.67   0.49  77(73) 13(12)  9( 8)  6( 5)  0( 0)    2      105
 41 12/6-->12/12     1.45   0.45  66(70) 11(11) 12(12)  4( 4)  0( 0)    0       93
 42 12/13-->12/19    2.50   0.31  60(77) 10(12)  4( 5)  2( 2)  1( 1)    0       77
 43 12/20-->12/26    1.84   0.37  69(74) 12(12) 10(10)  2( 2)  0( 0)    1       93
 44 12/27-->1/2      1.03   0.37  70(71) 14(14) 13(13)  1( 1)  0( 0)    0       98
 45 1/3-->1/9        1.66   0.28  65(80)  8( 9)  6( 7)  2( 2)  0( 0)    0       81
 46 1/10-->1/16      2.15   0.27  81(89)  5( 5)  3( 3)  1( 1)  1( 1)    0       91
 47 1/17-->1/23      1.10   0.35  86(78) 16(14)  5( 4)  2( 1)  0( 0)    0      109
 48 1/24-->1/30      0.92   0.24  80(83) 11(11)  5( 5)  0( 0)  0( 0)    1       96
 49 1/31-->2/6       0.76   0.21  79(86)  9( 9)  3( 3)  0( 0)  0( 0)    0       91
 50 2/7-->2/13       1.00   0.20  70(85)  9(10)  2( 2)  1( 1)  0( 0)    0       82
 51 2/14-->2/20      1.69   0.37  71(74) 15(15)  8( 8)  1( 1)  0( 0)    0       95
 52 2/21-->2/27      2.35   0.44  60(64) 25(26)  6( 6)  1( 1)  1( 1)    0       93
 53 2/28-->2/29      0.56   0.03   7(77)  1(11)  1(11)  0( 0)  0( 0)    0        9
 ANNUAL TOTALS       5.64   3354(61)903(16)752(13)374( 6) 82( 1)   41     5465
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->1999 FOR STATION NUMBER 1731
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   1.25 1.23 2.60 3.74 4.40 4.32 4.38 4.19 3.85 3.11 2.35 1.78 37.19  <-- PRECIP
  
   21.7 27.7 38.6 52.6 63.6 72.8 76.8 74.6 66.6 55.3 40.5 27.7  56.1  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   9     13  1961     5.56
   8     30  1965     5.64
   8      8  1977     4.90
   6      2  1995     4.65
   8     28  1998     4.51
   5     10  1996     3.90
   5     10  1951     3.80
   4     24  1955     3.75
   9     27  1973     3.75
   3      4  1976     3.43
   7     24  1993     3.36
  10      6  1959     3.25
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  1731
               MARCH                       APRIL  
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     65     22     14     10    308    175    149    124
 1952     89     43     36     30    407    263    234    207
 1953    166     81     64     50    274    152    126    102
 1954    123     48     34     24    499    319    281    245
 1955    161     89     74     59    523    343    305    269
 1956    137     66     53     42    349    226    200    175
 1957    125     47     33     22    423    261    226    196
 1958     86     32     21     13    385    234    201    168
 1959    141     69     58     50    376    222    191    163
 1960     38     17     12      8    470    309    273    239
 1961    144     65     53     42    270    140    116     96
 1962    102     53     43     35    398    248    216    188
 1963    246    141    122    107    488    322    285    248
 1964    124     61     49     37    432    266    232    200
 1965     22      5      3      2    370    215    183    156
 1966    233    124    101     79    331    192    165    140
 1967    232    149    131    113    429    261    225    192
 1968    301    177    152    132    432    272    239    207
 1969    107     55     45     38    452    285    247    210
 1970     92     30     21     13    453    301    268    237
 1971    118     55     47     40    475    322    289    257
 1972    169     90     78     67    376    227    198    171
 1973    243    110     86     65    386    223    193    166
 1974    201     99     80     67    489    323    286    251
 1975     78     39     31     23    316    184    157    135
 1976    214    105     87     72    480    310    273    237
 1977    257    141    122    105    569    385    342    302
 1978    103     52     42     33    379    227    198    171
 1979    137     73     61     51    287    157    130    106
 1980    121     47     34     24    390    241    210    183
 1981    236    123    103     86    542    359    319    281
 1982    126     43     31     22    333    208    182    157
 1983    178     98     81     66    262    135    115    100
 1984     51     13      6      3    330    183    154    126
 1985    216    104     84     66    550    371    334    301
 1986    253    155    136    118    517    345    309    275
 1987    239    127    109     94    513    343    307    273
 1988    226    123    102     84    414    266    235    205
 1989    190    110     93     79    406    247    213    182
 1990    250    135    113     93    392    243    210    183
 1991    234    126    105     87    455    281    244    210
 1992    218    110     90     73    355    207    179    155
 1993     92     43     34     28    314    172    147    123
 1994    188     97     80     66    425    279    247    216
 1995    225    131    112     94    310    174    145    119
 1996    115     49     36     27    369    224    194    168
 1997    218    114     93     75    296    176    151    126
 1998    182    111     97     87    360    200    167    139
 1999    157     75     60     49    400    236    202    170
     ****************************  *************************** 
 MEAN  162.9   83.3   68.7   56.3  403.5  250.3  218.4  189.0
 STDV   67.1   42.2   37.5   33.1   78.9   63.9   59.6   55.3
 
               MAY                         JUNE   
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    726    504    451    405    797    558    500    444
 1952    611    402    358    316    982    742    683    625
 1953    635    420    375    332    988    748    688    629
 1954    547    363    322    282    979    741    683    627
 1955    695    476    431    388    765    531    478    429
 1956    745    527    478    434   1001    769    712    655
 1957    662    438    387    342    896    661    603    548
 1958    708    499    455    413    806    566    507    453
 1959    783    558    505    455    943    703    645    587
 1960    642    429    379    332    862    623    565    507
 1961    594    400    356    318    903    673    620    568
 1962    908    665    607    550    944    704    646    589
 1963    667    450    401    356    980    742    685    629
 1964    853    616    561    508    942    706    649    593
 1965    836    608    556    505    876    642    586    531
 1966    576    381    339    302    906    672    614    558
 1967    563    374    332    295    932    693    636    580
 1968    579    378    337    302    966    727    668    611
 1969    712    496    450    404    807    578    528    478
 1970    809    579    525    476    922    682    623    568
 1971    611    418    378    340   1039    799    739    680
 1972    708    488    438    390    883    651    596    543
 1973    613    398    350    307    955    715    655    595
 1974    653    446    399    355    782    554    502    456
 1975    770    553    503    459    918    682    626    572
 1976    617    414    371    331    913    673    614    557
 1977    902    663    606    550    949    712    654    597
 1978    662    445    399    356    942    702    646    591
 1979    696    487    441    396    940    702    643    586
 1980    761    538    484    436    916    681    624    570
 1981    627    422    376    333    968    728    668    608
 1982    813    575    517    462    810    572    517    466
 1983    588    378    335    295    965    727    669    613
 1984    600    397    356    316    994    754    695    636
 1985    777    540    486    435    864    626    568    513
 1986    718    485    431    380    985    745    686    628
 1987    875    639    586    537   1010    771    712    654
 1988    827    594    543    493    989    752    695    639
 1989    639    437    392    349    868    630    573    516
 1990    573    356    311    270    939    699    640    582
 1991    834    603    550    497   1011    771    711    651
 1992    678    471    426    381    860    624    566    511
 1993    698    471    419    371    877    644    587    531
 1994    660    449    404    362    941    701    642    585
 1995    581    357    308    265    930    690    630    571
 1996    582    369    322    279    905    665    606    549
 1997    521    326    284    245    915    675    615    557
 1998    814    570    513    458    868    633    579    525
 1999    715    477    426    377    919    679    620    564
     ****************************  *************************** 
 MEAN  693.4  476.4  428.0  382.6  919.7  682.3  624.8  568.8
 STDV  100.8   88.8   84.7   80.2   64.1   62.7   61.4   59.5
 
               JULY                        AUGUST 
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    990    742    680    620    934    686    624    564
 1952   1042    794    733    672    922    678    618    563
 1953   1051    803    741    680    979    732    672    616
