 
 THIS IS FOR STATION NUMBER 7664 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.53   0.39  54(65) 17(20) 10(12)  1( 1)  0( 0)    7       82
  2 3/8-->3/14       1.04   0.39  63(70) 12(13) 12(13)  2( 2)  0( 0)    7       89
  3 3/15-->3/21      1.75   0.37  47(65) 12(16) 12(16)  1( 1)  0( 0)    7       72
  4 3/22-->3/28      2.24   0.53  60(63) 16(17) 13(13)  4( 4)  1( 1)    7       94
  5 3/29-->4/4       1.99   0.52  67(65) 17(16) 15(14)  4( 3)  0( 0)    7      103
  6 4/5-->4/11       1.58   0.50  74(74) 11(11) 11(11)  4( 4)  0( 0)    7      100
  7 4/12-->4/18      1.76   0.61  67(63) 20(18) 14(13)  5( 4)  0( 0)    7      106
  8 4/19-->4/25      2.24   0.60  62(59) 22(20) 16(15)  4( 3)  1( 0)    7      105
  9 4/26-->5/2       2.45   0.83  72(57) 27(21) 19(15)  5( 3)  3( 2)    6      126
 10 5/3-->5/9        1.51   0.70  63(56) 26(23) 17(15)  6( 5)  0( 0)    0      112
 11 5/10-->5/16      3.24   0.76  70(60) 21(18) 17(14)  6( 5)  2( 1)    0      116
 12 5/17-->5/23      2.91   0.83  73(58) 22(17) 22(17)  6( 4)  1( 0)    0      124
 13 5/24-->5/30      2.58   0.86  82(58) 29(20) 20(14)  7( 5)  1( 0)    0      139
 14 5/31-->6/6       3.34   0.83  71(59) 22(18) 16(13)  9( 7)  1( 0)    6      119
 15 6/7-->6/13       3.75   1.00  73(56) 27(20) 18(13)  9( 6)  3( 2)    7      130
 16 6/14-->6/20      3.75   1.45  70(48) 24(16) 29(20) 16(11)  4( 2)    7      143
 17 6/21-->6/27      2.41   1.00  55(46) 24(20) 29(24)  7( 5)  3( 2)    7      118
 18 6/28-->7/4       2.84   0.84  42(45) 18(19) 21(22)  7( 7)  4( 4)   11       92
 19 7/5-->7/11       3.06   0.86  54(52) 21(20) 15(14) 10( 9)  2( 1)   14      102
 20 7/12-->7/18      2.76   0.63  59(62) 11(11) 18(19)  5( 5)  1( 1)   17       94
 21 7/19-->7/25      2.63   0.62  69(66) 17(16) 11(10)  6( 5)  1( 0)   14      104
 22 7/26-->8/1       2.13   0.68  58(58) 16(16) 14(14)  9( 9)  2( 2)   13       99
 23 8/2-->8/8        3.53   0.82  61(57) 18(16) 16(15)  8( 7)  3( 2)    7      106
 24 8/9-->8/15       2.68   0.79  47(54) 14(16) 11(12) 13(15)  1( 1)   10       86
 25 8/16-->8/22      5.24   1.25  64(55) 13(11) 20(17) 11( 9)  7( 6)    9      115
 26 8/23-->8/29      1.88   0.82  56(57) 14(14) 11(11) 17(17)  0( 0)   14       98
 27 8/30-->9/5       3.67   0.69  62(65)  9( 9) 14(14)  7( 7)  2( 2)    4       94
 28 9/6-->9/12       2.93   0.72  49(56) 12(13) 15(17)  7( 8)  3( 3)    2       86
 29 9/13-->9/19      3.28   0.80  66(61) 15(14) 15(14)  9( 8)  2( 1)    0      107
 30 9/20-->9/26      1.70   0.60  61(59) 23(22) 15(14)  4( 3)  0( 0)    0      103
 31 9/27-->10/3      2.35   0.62  42(54) 10(12) 16(20)  7( 9)  2( 2)    0       77
 32 10/4-->10/10     1.68   0.49  57(63) 18(20) 11(12)  4( 4)  0( 0)    0       90
 33 10/11-->10/17    2.51   0.43  46(66) 10(14)  7(10)  5( 7)  1( 1)    0       69
 34 10/18-->10/24    1.86   0.37  41(64) 14(21)  5( 7)  4( 6)  0( 0)    1       64
 35 10/25-->10/31    2.41   0.37  36(59) 16(26)  6( 9)  2( 3)  1( 1)    0       61
 36 11/1-->11/7      1.25   0.31  51(71)  8(11) 10(14)  2( 2)  0( 0)    0       71
 37 11/8-->11/14     1.77   0.32  50(74) 10(14)  4( 5)  3( 4)  0( 0)    1       67
 38 11/15-->11/21    1.33   0.37  37(58) 13(20) 10(15)  3( 4)  0( 0)    0       63
 39 11/22-->11/28    1.07   0.16  62(89)  6( 8)  0( 0)  1( 1)  0( 0)    0       69
 40 11/29-->12/5     1.62   0.20  61(82) 11(14)  1( 1)  1( 1)  0( 0)    0       74
 41 12/6-->12/12     0.82   0.13  54(90)  4( 6)  2( 3)  0( 0)  0( 0)    0       60
 42 12/13-->12/19    0.87   0.19  51(78) 11(16)  3( 4)  0( 0)  0( 0)    0       65
 43 12/20-->12/26    0.98   0.16  53(85)  6( 9)  3( 4)  0( 0)  0( 0)    5       62
 44 12/27-->1/2      1.53   0.25  55(79)  6( 8)  7(10)  1( 1)  0( 0)    6       69
 45 1/3-->1/9        0.37   0.10  55(94)  3( 5)  0( 0)  0( 0)  0( 0)    7       58
 46 1/10-->1/16      1.05   0.14  51(86)  7(11)  0( 0)  1( 1)  0( 0)    7       59
 47 1/17-->1/23      1.11   0.15  60(88)  6( 8)  1( 1)  1( 1)  0( 0)    7       68
 48 1/24-->1/30      0.37   0.11  69(97)  2( 2)  0( 0)  0( 0)  0( 0)   15       71
 49 1/31-->2/6       0.75   0.11  46(90)  3( 5)  2( 3)  0( 0)  0( 0)    8       51
 50 2/7-->2/13       0.91   0.15  50(87)  4( 7)  3( 5)  0( 0)  0( 0)    2       57
 51 2/14-->2/20      2.50   0.30  67(81)  8( 9)  5( 6)  1( 1)  1( 1)    0       82
 52 2/21-->2/27      0.80   0.18  55(80) 11(16)  2( 2)  0( 0)  0( 0)    0       68
 53 2/28-->2/29      1.20   0.04   8(72)  2(18)  0( 0)  1( 9)  0( 0)    0       11
 ANNUAL TOTALS       5.24   3028(65)739(15)584(12)246( 5) 53( 1)  263     4650
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->2000 FOR STATION NUMBER 7664
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.58 0.78 1.82 2.71 3.54 4.51 3.17 4.02 2.93 1.86 1.26 0.78 27.96  <-- PRECIP
  
   13.7 20.5 31.5 46.8 59.6 69.2 73.3 71.0 62.0 50.4 33.3 19.7  50.7  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   8     22  1975     5.24
   8     21  1979     5.22
   6      7  1953     3.75
   6     18  1954     3.75
   8     30  1962     3.67
   8     19  1975     3.70
   6     20  1954     3.57
   8      6  1995     3.53
   5     31  1959     3.34
   9     15  1987     3.28
   5     15  1965     3.24
   7      8  1969     3.06
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  7664
               MARCH                       APRIL  
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951      0      0      0      0    167     78     64     53
 1952     28     14     11      8    319    204    183    163
 1953    119     48     36     27    179     83     68     56
 1954     27      4      2      0    383    252    225    199
 1955     95     44     34     25    468    318    285    254
 1956     51     19     15     11    246    148    126    104
 1957     68     18     12      8    301    197    175    155
 1958     58     14      6      3    317    193    163    136
 1959    100     42     32     24    352    227    203    179
 1960     16      2      0      0    331    201    176    154
 1961     89     38     29     22    203    101     82     66
 1962     11      3      1      0    301    187    164    143
 1963    163    103     92     81    405    254    220    190
 1964     60     16     10      5    340    211    185    161
 1965      4      0      0      0    273    157    134    115
 1966    214    118     97     79    212    110     92     78
 1967    199    129    114    100    352    218    188    160
 1968    302    196    173    152    401    255    224    194
 1969      4      0      0      0    333    203    178    153
 1970      8      0      0      0    325    209    185    162
 1971     89     45     37     29    358    230    202    176
 1972     86     33     24     15    278    156    132    109
 1973    145     59     44     31    314    191    164    139
 1974    131     49     37     27    374    233    204    176
 1975     36     15     12      9    172     67     50     36
 1976    144     84     71     60    434    283    249    217
 1977    144     62     48     35    437    299    269    241
 1978    105     60     52     44    205     97     76     56
 1979      3      0      0      0    232    124    103     85
 1980     58     19     13      8    364    226    198    174
 1981    193     97     79     62    462    304    272    242
 1982     42      8      3      0    249    158    138    119
 1983     61     21     15     11    152     81     68     56
 1984      6      0      0      0    185     88     71     56
 1985    136     64     50     38    362    232    208    185
 1986    102     56     49     42    289    166    141    120
 1987    107     56     45     37    416    276    247    220
 1988    123     53     43     34    258    149    126    106
 1989     87     47     39     33    323    199    171    147
 1990    114     47     37     28    330    205    179    156
 1991    113     57     46     37    307    180    155    131
 1992    101     42     30     21    159     85     72     59
 1993     19      6      4      2    169     87     71     58
 1994     90     33     25     18    294    191    167    144
 1995     91     41     32     24    152     75     58     44
 1996     51     21     17     14    196    112     93     76
 1997     61     28     23     18    223    127    106     86
 1998     63     35     30     25    264    158    135    114
 1999    102     42     32     24    249    130    108     89
 2000    213    119    100     83    279    168    147    127
     ****************************  ******************* ******** 
 MEAN   88.9   42.4   34.2   27.2  294.1  177.9  154.2  132.6
 STDV   64.3   39.8   34.7   30.2   86.0   66.8   61.9   56.9
 
               MAY                         JUNE   
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    590    382    337    295    648    426    379    334
 1952    548    352    311    271    911    677    621    566
 1953    588    398    357    319    891    656    599    545
 1954    465    304    269    236    876    642    588    535
 1955    708    496    452    409    763    539    488    439
 1956    617    427    386    349    940    710    654    598
 1957    525    338    298    263    756    525    474    427
 1958    701    506    464    424    725    505    458    413
 1959    647    443    396    352    924    687    631    576
 1960    608    410    366    326    785    551    498    445
 1961    499    318    278    242    816    594    543    493
 1962    727    505    453    406    799    561    506    452
 1963    611    412    368    331    947    708    651    594
 1964    725    512    466    422    858    634    580    527
 1965    702    487    436    391    854    618    562    508
 1966    543    381    345    312    840    607    555    504
 1967    487    324    290    259    794    562    507    454
 1968    479    306    270    234    872    644    592    541
 1969    660    448    400    357    674    460    412    366
 1970    680    474    427    381    897    662    607    554
 1971    566    380    340    303    954    714    655    596
 1972    642    434    387    341    846    613    558    507
 1973    572    380    339    303    875    637    582    529
 1974    550    362    323    286    797    572    520    471
 1975    703    482    436    394    816    587    533    480
 1976    578    396    357    321    828    594    541    492
 1977    708    500    454    413    777    550    498    452
 1978    585    394    351    311    799    581    531    482
 1979    517    341    308    278    839    610    555    500
 1980    646    457    417    378    881    644    586    532
 1981    561    373    333    297    825    588    532    479
 1982    580    367    322    282    663    440    394    350
 1983    421    275    243    214    753    531    482    434
 1984    458    299    267    238    788    553    497    444
 1985    640    431    389    352    672    455    411    370
 1986    541    336    292    250    845    605    546    489
 1987    700    477    429    386    884    650    596    543
 1988    740    527    480    435    943    704    645    588
 1989    564    379    340    306    779    552    500    451
 1990    465    284    246    210    824    596    540    487
 1991    637    437    391    346    906    666    606    546
 1992    583    396    357    320    735    505    451    399
 1993    459    277    241    208    664    437    386    336
 1994    634    438    395    356    838    599    540    483
 1995    421    248    214    184    819    588    534    481
 1996    406    231    197    166    822    587    531    477
 1997    394    240    207    178    856    616    556    498
 1998    719    491    441    393    698    472    419    369
 1999    599    381    338    298    769    534    480    429
 2000    630    415    369    328    735    504    448    398
     ****************************  ******************* ******** 
 MEAN  586.8  393.3  351.7  313.3  816.3  585.3  531.4  479.5
 STDV   93.9   77.8   73.5   69.6   79.0   74.6   72.0   68.9
 
               JULY                        AUGUST 
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    895    647    588    529    851    605    546    489
