 
 THIS IS FOR STATION NUMBER 4228 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.12   0.41  53(63) 17(20) 11(13)  2( 2)  0( 0)    8       83
  2 3/8-->3/14       1.52   0.50  39(51) 21(27) 12(15)  4( 5)  0( 0)    7       76
  3 3/15-->3/21      1.38   0.43  51(63) 15(18) 10(12)  4( 5)  0( 0)    7       80
  4 3/22-->3/28      2.58   0.54  41(55) 15(20) 10(13)  7( 9)  1( 1)    7       74
  5 3/29-->4/4       1.58   0.57  45(52) 19(22) 18(20)  4( 4)  0( 0)    7       86
  6 4/5-->4/11       1.88   0.51  42(55) 21(27)  7( 9)  6( 7)  0( 0)    7       76
  7 4/12-->4/18      2.52   0.77  64(58) 24(22) 13(11)  6( 5)  2( 1)    7      109
  8 4/19-->4/25      4.90   0.80  62(56) 23(20) 14(12) 10( 9)  1( 0)    7      110
  9 4/26-->5/2       2.37   0.92  56(49) 23(20) 25(21)  8( 7)  2( 1)    5      114
 10 5/3-->5/9        2.43   0.92  56(48) 32(27) 17(14)  7( 6)  3( 2)    6      115
 11 5/10-->5/16      2.66   0.84  60(56) 24(22) 14(13)  6( 5)  3( 2)    7      107
 12 5/17-->5/23      2.56   0.82  65(56) 19(16) 23(20)  6( 5)  2( 1)    1      115
 13 5/24-->5/30      2.27   1.06  54(45) 32(26) 20(16) 10( 8)  3( 2)    0      119
 14 5/31-->6/6       3.63   0.87  66(59) 18(16) 17(15)  7( 6)  3( 2)    0      111
 15 6/7-->6/13       2.93   1.11  53(45) 15(12) 36(30) 11( 9)  2( 1)    1      117
 16 6/14-->6/20      3.98   1.27  67(50) 25(18) 21(15) 16(12)  3( 2)    3      132
 17 6/21-->6/27      3.83   1.03  48(46) 19(18) 23(22)  9( 8)  4( 3)    4      103
 18 6/28-->7/4       5.51   1.18  50(50) 13(13) 19(19) 11(11)  6( 6)    5       99
 19 7/5-->7/11       7.83   1.09  45(44) 19(18) 24(23) 10( 9)  3( 2)    7      101
 20 7/12-->7/18      3.31   0.86  59(57) 16(15) 19(18)  5( 4)  4( 3)    7      103
 21 7/19-->7/25      4.53   0.75  54(58) 16(17)  9( 9) 11(11)  2( 2)    7       92
 22 7/26-->8/1       2.22   0.77  39(47) 18(21)  9(10) 15(18)  1( 1)    7       82
 23 8/2-->8/8        3.06   1.03  46(45) 22(21) 20(19) 10( 9)  4( 3)    7      102
 24 8/9-->8/15       2.50   0.60  44(48) 25(27) 19(21)  1( 1)  1( 1)    7       90
 25 8/16-->8/22      5.50   0.89  44(48) 16(17) 17(18) 11(12)  3( 3)    7       91
 26 8/23-->8/29      2.54   1.05  47(46) 17(16) 21(20) 14(13)  3( 2)    7      102
 27 8/30-->9/5       2.03   0.72  45(47) 20(21) 19(20)  9( 9)  1( 1)    7       94
 28 9/6-->9/12       2.41   0.66  37(45) 15(18) 24(29)  4( 4)  1( 1)    7       81
 29 9/13-->9/19      4.67   0.77  54(56) 13(13) 23(24)  3( 3)  2( 2)    7       95
 30 9/20-->9/26      3.05   0.64  56(57) 21(21) 14(14)  6( 6)  1( 1)    7       98
 31 9/27-->10/3      1.99   0.50  40(55) 15(20) 13(18)  4( 5)  0( 0)   10       72
 32 10/4-->10/10     1.91   0.56  40(52) 15(19) 16(21)  5( 6)  0( 0)   14       76
 33 10/11-->10/17    2.05   0.54  31(48) 16(25) 11(17)  5( 7)  1( 1)   14       64
 34 10/18-->10/24    1.51   0.48  47(62) 11(14)  9(12)  8(10)  0( 0)   14       75
 35 10/25-->10/31    1.74   0.42  34(53) 14(21) 13(20)  3( 4)  0( 0)   14       64
 36 11/1-->11/7      2.13   0.49  34(52) 15(23)  9(13)  5( 7)  2( 3)   14       65
 37 11/8-->11/14     1.58   0.29  36(65)  9(16)  9(16)  1( 1)  0( 0)   14       55
 38 11/15-->11/21    1.76   0.47  42(60)  9(13) 12(17)  6( 8)  0( 0)   14       69
 39 11/22-->11/28    1.11   0.21  41(75)  8(14)  4( 7)  1( 1)  0( 0)   14       54
 40 11/29-->12/5     1.14   0.29  44(70)  9(14)  6( 9)  3( 4)  0( 0)   14       62
 41 12/6-->12/12     1.30   0.25  38(67) 11(19)  6(10)  1( 1)  0( 0)   15       56
 42 12/13-->12/19    0.77   0.23  44(72) 12(19)  5( 8)  0( 0)  0( 0)    8       61
 43 12/20-->12/26    0.94   0.18  50(81)  7(11)  4( 6)  0( 0)  0( 0)    7       61
 44 12/27-->1/2      1.92   0.25  40(70) 10(17)  6(10)  1( 1)  0( 0)    5       57
 45 1/3-->1/9        1.64   0.18  32(72)  8(18)  3( 6)  1( 2)  0( 0)    0       44
 46 1/10-->1/16      1.60   0.21  44(80)  7(12)  3( 5)  1( 1)  0( 0)    0       55
 47 1/17-->1/23      0.89   0.23  46(69) 16(24)  4( 6)  0( 0)  0( 0)    1       66
 48 1/24-->1/30      0.89   0.15  51(87)  5( 8)  2( 3)  0( 0)  0( 0)    0       58
 49 1/31-->2/6       1.05   0.18  43(82)  4( 7)  4( 7)  1( 1)  0( 0)    0       52
 50 2/7-->2/13       1.05   0.21  37(72)  8(15)  5( 9)  1( 1)  0( 0)    0       51
 51 2/14-->2/20      1.50   0.28  45(69) 13(20)  5( 7)  2( 3)  0( 0)    1       65
 52 2/21-->2/27      1.60   0.28  41(68) 11(18)  7(11)  1( 1)  0( 0)    0       60
 53 2/28-->2/29      0.53   0.03   3(50)  2(33)  1(16)  0( 0)  0( 0)    0        6
 ANNUAL TOTALS       7.83   2445(56)828(19)685(15)283( 6) 64( 1)  346     4305
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->2000 FOR STATION NUMBER 4228
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.87 0.97 2.10 3.14 3.99 4.73 3.88 3.94 2.92 2.18 1.55 1.01 31.28  <-- PRECIP
  
   19.6 26.1 36.9 51.3 63.1 72.4 76.7 74.2 65.8 54.2 38.1 25.0  54.7  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7      9  1993     7.83
   8     22  1954     5.50
   6     30  1986     5.51
   4     24  1955     4.90
   9     13  1978     4.67
   7     25  1992     4.53
   6     16  1957     3.98
   6     21  1954     3.83
   7      4  1981     3.77
   6      4  1991     3.63
   7      1  1973     3.51
   6     27  1979     3.42
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER  4228
               MARCH                       APRIL  
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951     39     13      9      6    240    125    105     87
 1952     74     38     32     27    385    246    218    193
 1953    150     71     54     41    234    117     95     74
 1954     77     23     17     12    469    301    266    233
 1955    136     72     59     48    505    334    301    269
 1956    138     60     47     37    335    215    190    167
 1957    131     60     48     37    379    233    204    180
 1958     64     18     11      8    350    203    171    141
 1959    124     57     45     34    362    230    202    175
 1960     16      2      0      0    426    270    237    208
 1961    112     43     33     26    261    135    112     91
 1962     70     31     26     22    369    230    200    174
 1963    207    126    112    100    448    287    252    219
 1964    105     48     39     30    384    234    205    178
 1965      8      3      2      1    333    207    181    156
 1966    233    136    113     92    258    137    115     94
 1967    235    150    133    116    381    229    199    171
 1968    318    207    184    162    420    265    231    201
 1969     35      8      4      2    385    232    200    170
 1970     42      7      3      1    419    273    241    212
 1971     99     53     44     36    420    281    250    220
 1972    139     71     59     48    355    205    176    150
 1973    176     70     52     37    364    232    202    174
 1974    185     98     81     67    445    292    257    223
 1975     59     19     12      8    290    162    136    115
 1976    179    106     92     78    493    336    302    268
 1977    253    142    120     99    565    391    352    315
 1978    131     78     67     57    345    205    176    149
 1979     80     29     22     17    290    169    145    124
 1980    117     49     37     27    431    291    260    232
 1981    272    148    125    103    551    374    336    301
 1982    120     48     36     26    351    220    194    169
 1983    134     74     63     52    242    141    124    109
 1984     54     10      4      2    308    174    148    122
 1985    226    126    104     84    544    370    333    299
 1986    274    169    149    133    473    312    277    246
 1987    255    150    131    115    537    373    339    310
 1988    279    174    151    130    430    298    268    239
 1989    184    113     98     84    495    340    305    270
 1990    212    115     97     81    437    283    248    214
 1991    230    133    111     91    415    252    219    189
 1992    225    117     97     78    336    206    182    161
 1993     72     32     27     22    290    163    139    118
 1994    210    119    102     85    429    291    261    232
 1995    187    100     82     64    295    171    144    121
 1996    124     59     47     38    376    241    214    189
 1997    199    108     90     73    307    179    155    133
 1998    107     56     49     43    330    195    168    141
 1999    157     80     63     50    315    178    151    125
 2000    254    147    127    108    364    240    217    194
     ****************************  ******************* ******** 
 MEAN  150.4   79.5   66.4   55.0  383.6  241.6  212.4  185.1
 STDV   78.1   52.1   46.3   40.5   84.4   69.3   65.0   60.8
 
               MAY                         JUNE   
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    687    468    417    367    756    522    466    411
 1952    611    400    353    309   1013    773    714    656
 1953    635    424    380    338    972    734    675    616
 1954    536    359    320    283    957    719    662    606
 1955    724    492    443    399    815    582    527    475
 1956    703    490    443    399    978    742    684    627
 1957    585    371    329    289    860    622    563    506
 1958    736    525    478    432    800    563    506    453
 1959    704    486    436    388    964    724    664    607
 1960    689    471    422    375    848    609    552    495
 1961    587    387    346    307    881    644    587    536
 1962    854    613    556    504    875    637    579    522
 1963    663    440    387    339    988    748    688    630
 1964    820    582    528    478    893    657    600    544
 1965    811    585    532    479    882    642    583    527
 1966    578    393    356    322    875    639    582    527
 1967    510    330    293    261    822    583    526    471
 1968    563    369    328    289    937    698    641    585
 1969    692    473    424    377    767    537    484    433
 1970    786    561    509    460    920    680    621    564
 1971    577    375    332    293   1020    780    720    661
 1972    669    444    396    351    893    653    596    540
 1973    641    426    379    335    974    734    674    614
 1974    621    405    357    313    872    633    575    520
 1975    766    539    490    445    912    673    614    556
 1976    629    434    392    352    914    677    620    564
 1977    902    664    605    550    976    736    678    621
 1978    678    472    426    382    938    703    646    591
 1979    662    460    417    379    902    666    609    555
 1980    732    519    472    430    920    681    622    567
 1981    645    447    405    366    935    695    636    578
 1982    754    519    463    409    819    584    530    479
 1983    574    375    334    297    936    701    644    588
 1984    625    420    375    333    980    740    681    623
 1985    788    553    502    455    856    622    567    513
 1986    732    505    453    405    979    739    679    619
 1987    848    613    561    509    994    756    697    639
 1988    845    611    561    515    989    751    693    637
 1989    736    533    485    441    896    660    604    550
 1990    598    390    344    300    953    715    657    599
 1991    794    568    516    465   1009    769    709    649
 1992    700    497    452    409    882    645    589    534
 1993    649    425    376    331    855    619    562    508
 1994    716    504    458    415    959    721    662    603
 1995    580    363    318    279    908    669    611    555
 1996    586    373    327    282    918    681    624    567
 1997    549    358    318    279    951    711    651    594
 1998    784    543    488    438    793    565    513    461
 1999    631    404    358    314    857    620    563    506
 2000    722    501    452    405    847    609    554    502
     ****************************  ******************* ******** 
 MEAN  684.3  469.5  422.1  377.6  909.0  671.6  614.0  557.9
 STDV   93.4   81.3   77.3   73.5   66.0   64.4   63.1   61.4
 
               JULY                        AUGUST 
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    975    727    665    604    944    696    634    573
 1952   1036    788    727    666    913    665    604    545
 1953   1038    790    729    670    964    716    655    597
 1954   1093    845    783    721    993    745    683    621
 1955   1150    902    840    778   1052    804    742    681
 1956    985    737    675    613    989    744    685    628
 1957   1124    876    814    752   1008    760    699    639
 1958    923    675    614    553    993    748    688    629
 1959   1004    756    694    634   1092    844    782    720
 1960   1007    759    697    637   1031    783    721    659
 1961   1033    785    723    661    987    739    677    615
 1962    986    738    677    618    974    726    665    605
 1963   1062    814    752    690    969    721    660    600
 1964   1079    831    769    707    905    660    601    542
 1965   1029    781    719    657    936    690    630    571
 1966   1100    852    790    728    918    671    610    551
 1967    945    697    635    576    883    638    582    529
 1968   1023    775    713    651    975    727    665    604
 1969   1042    794    732    670   1007    759    697    635
 1970   1034    786    724    664    994    746    684    622
 1971    954    708    648    589    960    714    654    594
 1972   1009    763    704    646    978    730    669    610
 1973   1059    811    749    687   1054    806    744    682
 1974   1131    883    821    759    921    673    613    554
 1975   1065    817    757    697   1046    798    737    676
 1976   1076    828    767    708   1008    762    702    643
 1977   1115    867    805    743    942    696    636    577
 1978   1040    792    730    668   1007    759    699    639
 1979   1027    779    717    655   1012    765    704    645
 1980   1114    866    804    742   1054    806    744    682
 1981   1061    813    751    689    963    717    658    600
 1982   1093    845    783    721   1001    754    694    634
 1983   1134    886    824    762   1148    900    838    776
 1984   1043    795    733    671   1051    804    743    683
 1985   1045    797    735    673    944    697    636    577
 1986   1114    866    804    742    908    664    606    548
 1987   1105    857    795    733    921    677    618    562
