 
 THIS IS FOR STATION NUMBER  385 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        2.10   0.48  61(66) 17(18) 10(10)  3( 3)  1( 1)    7       92
  2 3/8-->3/14       1.56   0.47  54(62) 18(20) 11(12)  3( 3)  0( 0)    4       86
  3 3/15-->3/21      1.87   0.41  66(74) 13(14)  5( 5)  5( 5)  0( 0)    0       89
  4 3/22-->3/28      1.52   0.59  47(57) 12(14) 13(15) 10(12)  0( 0)    0       82
  5 3/29-->4/4       3.39   0.69  62(57) 28(26) 10( 9)  5( 4)  2( 1)    4      107
  6 4/5-->4/11       2.05   0.52  60(68)  9(10) 13(14)  5( 5)  1( 1)    7       88
  7 4/12-->4/18      1.76   0.72  69(62) 19(17) 14(12)  9( 8)  0( 0)    7      111
  8 4/19-->4/25      2.70   0.83  54(50) 24(22) 20(18)  9( 8)  1( 0)    7      108
  9 4/26-->5/2       2.60   1.05  66(51) 22(17) 28(22)  9( 7)  2( 1)    7      127
 10 5/3-->5/9        2.51   0.96  66(52) 27(21) 20(16)  9( 7)  3( 2)    8      125
 11 5/10-->5/16      2.48   0.76  53(50) 27(25) 18(17)  5( 4)  2( 1)    7      105
 12 5/17-->5/23      2.15   0.83  60(52) 21(18) 24(20)  9( 7)  1( 0)    7      115
 13 5/24-->5/30      2.60   1.20  68(53) 19(14) 16(12) 20(15)  4( 3)    7      127
 14 5/31-->6/6       3.09   0.87  58(50) 27(23) 18(15)  8( 7)  3( 2)    1      114
 15 6/7-->6/13       2.55   1.13  52(44) 18(15) 32(27) 13(11)  2( 1)    3      117
 16 6/14-->6/20      3.87   1.19  60(52) 12(10) 22(19) 18(15)  3( 2)    7      115
 17 6/21-->6/27      2.37   1.09  53(49) 16(14) 18(16) 19(17)  1( 0)    5      107
 18 6/28-->7/4      12.53   1.22  52(50) 17(16) 13(12) 17(16)  3( 2)    0      102
 19 7/5-->7/11       2.85   1.18  42(40) 25(24) 17(16) 16(15)  4( 3)    0      104
 20 7/12-->7/18      3.27   0.93  45(45) 24(24) 17(17) 10(10)  3( 3)    0       99
 21 7/19-->7/25      2.50   0.70  54(57) 17(18) 14(14)  7( 7)  2( 2)    0       94
 22 7/26-->8/1       2.40   0.78  52(53) 21(21) 13(13)  9( 9)  3( 3)    0       98
 23 8/2-->8/8        2.69   1.02  55(50) 15(13) 20(18) 16(14)  2( 1)    0      108
 24 8/9-->8/15       3.50   0.80  54(54) 14(14) 22(22)  6( 6)  3( 3)    0       99
 25 8/16-->8/22      2.55   0.90  48(47) 22(21) 19(18) 10( 9)  2( 1)    0      101
 26 8/23-->8/29      4.10   0.94  51(50) 22(21) 18(17)  6( 5)  4( 3)    0      101
 27 8/30-->9/5       2.95   0.97  44(45) 24(25) 11(11) 12(12)  5( 5)    0       96
 28 9/6-->9/12       5.57   0.97  46(53) 10(11) 17(19)  9(10)  4( 4)    0       86
 29 9/13-->9/19      4.63   0.79  43(45) 25(26) 15(15) 10(10)  1( 1)    1       94
 30 9/20-->9/26      2.37   0.65  45(51) 19(21) 16(18)  6( 6)  1( 1)    0       87
 31 9/27-->10/3      4.05   0.57  43(55) 16(20) 13(16)  4( 5)  1( 1)    2       77
 32 10/4-->10/10     1.76   0.61  48(55) 18(20) 12(13)  8( 9)  0( 0)    1       86
 33 10/11-->10/17    3.44   0.58  26(46) 10(17)  8(14) 11(19)  1( 1)    0       56
 34 10/18-->10/24    1.86   0.50  44(56) 14(17) 17(21)  3( 3)  0( 0)    0       78
 35 10/25-->10/31    1.28   0.49  38(53) 15(21) 14(19)  4( 5)  0( 0)    0       71
 36 11/1-->11/7      2.31   0.47  57(67) 16(18)  7( 8)  4( 4)  1( 1)    0       85
 37 11/8-->11/14     2.11   0.35  44(67) 12(18)  5( 7)  3( 4)  1( 1)    0       65
 38 11/15-->11/21    1.38   0.49  43(58)  9(12) 16(21)  5( 6)  0( 0)    0       73
 39 11/22-->11/28    0.91   0.22  44(74)  9(15)  6(10)  0( 0)  0( 0)    0       59
 40 11/29-->12/5     1.32   0.28  58(78)  8(10)  5( 6)  3( 4)  0( 0)    6       74
 41 12/6-->12/12     0.85   0.24  53(77)  8(11)  7(10)  0( 0)  0( 0)    8       68
 42 12/13-->12/19    0.99   0.24  56(78) 12(16)  3( 4)  0( 0)  0( 0)    7       71
 43 12/20-->12/26    0.91   0.22  52(78)  9(13)  5( 7)  0( 0)  0( 0)    7       66
 44 12/27-->1/2      1.27   0.29  62(76) 13(16)  4( 4)  2( 2)  0( 0)    8       81
 45 1/3-->1/9        1.39   0.18  49(84)  6(10)  1( 1)  2( 3)  0( 0)    7       58
 46 1/10-->1/16      0.71   0.18  45(81)  7(12)  3( 5)  0( 0)  0( 0)    9       55
 47 1/17-->1/23      1.28   0.24  45(76)  9(15)  3( 5)  2( 3)  0( 0)    7       59
 48 1/24-->1/30      0.86   0.17  52(82)  9(14)  2( 3)  0( 0)  0( 0)    8       63
 49 1/31-->2/6       0.99   0.19  42(75)  9(16)  5( 8)  0( 0)  0( 0)   10       56
 50 2/7-->2/13       0.78   0.18  46(79)  8(13)  4( 6)  0( 0)  0( 0)    8       58
 51 2/14-->2/20      1.45   0.29  55(74) 13(17)  5( 6)  1( 1)  0( 0)    8       74
 52 2/21-->2/27      1.39   0.30  48(71) 13(19)  5( 7)  1( 1)  0( 0)    7       67
 53 2/28-->2/29      0.76   0.05  10(83)  0( 0)  2(16)  0( 0)  0( 0)    1       12
 ANNUAL TOTALS      12.53   2700(58)827(17)656(14)346( 7) 67( 1)  193     4596
 
 THESE ARE THE MONTHLY AVERAGES FOR 1951-->2000 FOR STATION NUMBER  385
   JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SPT  OCT  NOV  DEC  ANNUAL
   0.88 0.99 2.26 3.28 4.06 4.68 4.21 4.10 3.46 2.36 1.65 1.05 32.97  <-- PRECIP
  
   19.6 25.7 36.5 50.7 62.4 71.9 76.1 73.9 65.0 53.4 37.4 24.6  54.3  <-- TEMP
 
 TWELVE SIGNIFICANT RAINFALL EVENTS  
 MONTH  DAY  YEAR   AMOUNT
   7      2  1958    12.53
   9     11  1972     5.57
   9     13  1978     4.63
   9      8  1989     4.23
   8     29  1952     4.10
   9     30  1961     4.05
   6     16  1957     3.87
   8     13  1986     3.50
  10     11  1986     3.44
   8     25  1987     3.50
   4      2  1964     3.39
   7     17  1996     3.27
 
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION NUMBER   385
               MARCH                       APRIL  
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951     44     15     10      8    235    124    103     84
 1952     71     34     29     24    377    245    218    194
 1953    168     88     72     57    236    119     96     77
 1954     75     22     14     10    445    286    254    223
 1955    139     74     61     50    507    341    309    277
 1956    152     70     56     45    340    218    194    171
 1957    147     69     55     44    365    230    204    180
 1958     63     20     12      7    350    207    177    149
 1959    123     56     46     37    349    212    186    163
 1960     18      2      1      0    407    262    230    200
 1961     93     34     25     18    255    143    122    103
 1962     80     37     31     26    364    228    199    173
 1963    201    125    112    100    430    273    237    204
 1964    115     52     41     31    383    229    199    172
 1965     15      4      3      2    356    226    198    171
 1966    245    141    119     99    271    152    126    103
 1967    248    161    142    124    420    260    228    197
 1968    320    207    185    164    416    259    227    197
 1969     53     19     13     10    413    265    232    200
 1970     65     18     12      6    424    285    255    228
 1971    119     65     55     46    444    290    259    228
 1972    168     84     68     55    373    226    197    170
 1973    168     63     46     34    353    220    191    163
 1974    219    128    108     91    445    289    256    225
 1975     62     23     15      9    292    165    140    119
 1976    179    104     89     76    488    322    286    251
 1977    246    136    114     94    546    375    336    300
 1978    131     77     67     58    333    190    160    134
 1979     90     35     27     21    297    177    154    133
 1980    113     52     40     30    410    268    238    210
 1981    255    135    113     92    558    369    330    293
 1982    124     49     35     25    345    214    188    164
 1983    139     76     64     52    230    132    114     99
 1984     52     12      6      3    272    147    123    101
 1985    225    125    103     83    505    339    304    270
 1986    283    170    148    130    464    304    270    237
 1987    232    131    113     98    497    341    309    279
 1988    248    154    132    111    393    263    233    203
 1989    175    106     91     77    473    319    283    248
 1990    199    106     89     73    402    255    223    192
 1991    230    132    111     93    403    247    214    183
 1992    240    128    107     87    321    194    173    153
 1993     84     40     34     29    269    153    130    110
 1994    209    118    101     84    413    277    248    220
 1995    197    108     89     72    284    162    137    114
 1996    119     55     44     35    359    233    204    179
 1997    193    100     82     66    280    167    144    121
 1998     98     52     44     38    294    171    144    119
 1999    140     66     51     39    306    170    145    120
 2000    243    133    112     93    329    211    188    165
     ****************************  ******************* ******** 
 MEAN  152.6   80.4   67.0   55.3  374.6  235.3  206.6  179.6
 STDV   75.0   49.8   44.1   38.7   82.4   65.4   61.1   56.6
 
               MAY                         JUNE   
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    615    403    354    307    759    525    469    414
 1952    584    385    341    303    969    729    670    611
 1953    608    401    357    317    966    729    671    613
 1954    548    369    330    294    949    713    657    603
 1955    706    485    440    399    783    557    505    455
 1956    702    488    442    399    979    747    689    631
 1957    588    380    339    301    843    607    550    494
 1958    701    502    456    413    802    568    514    462
 1959    687    466    415    367    926    686    628    573
 1960    624    416    370    328    793    556    499    446
 1961    551    362    322    284    821    591    540    492
 1962    836    599    544    493    847    612    556    502
 1963    646    427    378    333    975    735    675    617
 1964    813    576    521    471    883    651    596    542
 1965    773    553    500    449    869    630    573    519
 1966    623    434    395    357    887    650    592    536
 1967    576    389    349    311    875    638    582    527
 1968    561    371    332    296    952    714    658    602
 1969    713    497    449    402    796    570    518    468
 1970    808    588    537    486    926    687    629    573
 1971    600    403    359    319   1019    779    720    661
 1972    674    454    408    364    901    666    608    554
 1973    622    412    366    324    946    706    646    586
 1974    630    417    372    329    841    605    548    497
 1975    722    510    464    420    884    648    590    533
 1976    614    408    365    324    891    652    594    536
 1977    860    618    560    503    956    716    656    597
 1978    650    445    398    354    923    687    629    573
 1979    632    433    389    350    902    665    609    554
 1980    694    483    437    395    915    676    617    560
 1981    646    437    394    352    966    726    666    607
 1982    724    494    440    388    808    572    517    464
 1983    559    365    325    289    918    683    627    572
 1984    616    410    364    322    972    732    673    615
 1985    783    545    492    442    848    611    556    502
 1986    719    488    438    392    978    738    678    619
 1987    822    584    531    480    982    743    684    626
 1988    827    597    547    499    978    745    690    637
 1989    671    478    435    394    844    608    553    499
 1990    560    358    313    271    934    697    638    580
 1991    780    555    504    454    970    730    670    611
 1992    650    457    413    371    825    593    540    488
 1993    622    408    361    317    827    594    538    484
 1994    662    467    425    384    920    683    625    568
 1995    530    325    284    246    872    637    580    526
 1996    565    359    312    269    907    670    613    557
 1997    520    340    301    264    910    672    616    561
 1998    718    494    445    397    764    539    487    436
 1999    586    374    330    289    831    594    536    481
 2000    678    468    420    377    809    576    522    472
     ****************************  ******************* ******** 
 MEAN  664.3  453.7  407.5  364.0  893.0  657.0  600.2  545.0
 STDV   88.3   75.9   72.2   68.2   67.2   64.8   63.2   61.1
 
               JULY                        AUGUST 
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    927    679    618    557    927    679    618    558
 1952   1007    759    697    637    913    665    604    546
 1953   1040    793    732    672   1005    757    696    635
 1954   1093    845    783    721   1000    752    690    628
 1955   1114    866    804    742   1030    783    724    667
 1956    964    716    654    593    957    717    660    603
 1957   1117    869    807    745    997    752    692    634
 1958    936    688    626    564    998    753    692    632
 1959    980    733    673    614   1091    843    781    720
 1960    950    704    643    583    970    722    660    599
 1961    967    719    657    596    934    687    626    570
 1962    965    723    665    607    954    709    649    590
 1963   1059    811    749    687    948    702    643    586
 1964   1086    838    776    714    903    660    601    544
 1965   1035    789    729    669    944    697    637    580
 1966   1108    860    798    736    916    671    611    552
 1967    988    744    685    628    956    714    657    602
 1968   1036    788    727    667   1016    768    707    647
 1969   1083    835    773    711   1033    785    723    661
 1970   1038    791    731    672   1029    781    719    658
 1971    971    726    666    607    980    736    676    616
 1972   1004    759    699    640    970    723    662    604
 1973   1040    792    730    668   1053    805    743    681
 1974   1123    875    813    751    917    669    608    552
 1975   1056    808    746    686   1020    772    710    649
 1976   1067    819    757    695   1005    757    695    635
 1977   1107    859    797    735    928    680    618    557
 1978   1048    800    738    676   1017    771    711    652
 1979   1020    772    710    648    989    741    679    617
 1980   1113    865    803    741   1050    802    740    678
 1981   1065    817    755    693    988    740    681    623
 1982   1082    834    772    710    985    737    676    616
 1983   1116    868    806    744   1146    898    836    774
 1984   1039    791    729    667   1054    807    747    688
 1985   1029    781    719    657    924    676    615    558
 1986   1106    858    796    734    924    681    622    564
 1987   1089    841    779    717    929    682    621    562
 1988   1024    776    714    653   1034    794    735    676
 1989   1035    787    725    664    954    710    651    592
 1990    991    743    681    622    990    743    683    623
 1991   1004    757    696    635    959    711    649    588
 1992    893    645    585    526    811    573    518    465
 1993   1008    760    698    636    995    747    686    627
 1994    933    686    626    568    922    678    621    564
 1995   1011    765    705    645   1092    844    782    720
 1996    947    700    639    578    923    675    614    554
 1997   1030    784    723    662    866    619    562    506
 1998   1029    781    719    657    981    733    671    609
 1999   1074    826    764    702    880    632    571    511
 2000    972    724    663    602   1003    755    693    631
     ****************************  ******************* ******** 
 MEAN 1030.7  783.2  721.9  661.0  976.5  730.0  669.5  610.3
 STDV   58.4   57.9   57.4   56.7   61.3   60.6   59.7   58.4
 
               SEPTEMBER                   OCTOBER
     ****************************  ******************* ******** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  ******************* ******** 
 1951    526    339    297    262      0      0      0      0
 1952    765    548    497    450     67     44     39     34
 1953    743    552    509    467    537    375    339    304
 1954    765    545    495    446    379    230    198    170
 1955    759    551    504    460    138     92     82     72
 1956    658    474    433    394      0      0      0      0
 1957    587    386    346    308    225    132    114     96
 1958    760    538    488    441    195    132    118    105
 1959    676    472    427    385    100     56     48     40
 1960    697    496    450    408    281    199    181    165
 1961    602    412    368    329      0      0      0      0
 1962    436    308    279    253      0      0      0      0
 1963    730    507    455    408    647    453    412    374
 1964    712    500    450    403    130     88     78     68
 1965    565    361    317    277    405    268    239    210
 1966    640    437    395    354    271    181    160    140
 1967    687    475    426    382    180    112     99     88
 1968    718    492    441    394     64     44     39     34
 1969    763    536    484    436    238    163    147    132
 1970    742    522    472    423    231    151    133    115
 1971    803    585    534    488    569    379    336    295
 1972    751    533    480    431    276    179    160    142
 1973    711    481    429    380    547    367    329    293
 1974    638    434    390    350      8      4      3      2
 1975    621    415    370    327    473    337    305    275
 1976    769    548    502    456    135     92     82     74
 1977    764    526    470    418    390    220    186    157
 1978    859    628    575    524    375    243    213    183
 1979    785    570    523    478    186    124    110     97
 1980    803    579    529    481    206    141    128    117
 1981    776    556    505    457    270    157    136    115
 1982    733    516    465    415    327    207    185    165
 1983    811    595    544    494    427    256    222    192
 1984    681    482    434    389      0      0      0      0
 1985    705    501    454    409    416    243    208    175
 1986    806    574    518    463    184    112     97     82
 1987    715    483    435    389     42     31     29     27
 1988    762    550    504    458     49     30     26     22
 1989    526    365    326    289      0      0      0      0
 1990    792    577    526    477    172    115    102     90
 1991    545    404    371    339      0      0      0      0
 1992    679    480    433    386    235    149    132    116
 1993    561    355    312    271    171    117    107     97
 1994    741    529    481    434    395    247    214    182
 1995    481    335    304    275      0      0      0      0
 1996    614    405    361    319    361    228    202    178
 1997    683    476    431    390    375    269    245    221
 1998    814    585    530    478    433    268    234    202
 1999    610    426    388    351     30     18     15     12
 2000    565    421    386    354      0      0      0      0
     ****************************  ******************* ******** 
 MEAN  693.0  487.6  441.1  397.2  223.0  145.3  128.9  113.3
 STDV   96.7   77.8   73.1   68.3  179.9  119.5  106.8   94.9
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2000 FOR STATION NUMBER  385
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  52 -19  57 -21  75 -23  85  14  90  27  88  40 100  44 100  51  96  38  90  28  76  19  62  -5
  2  55 -11  64 -27  75  -5  86  15  91  23  89  41  98  47  98  52  94  44  92  25  78   6  65  -5
  3  52 -12  50 -27  78  -3  80   5  87  27  95  40  98  47  98  49 101  36  89  28  78   6  62  -1
  4  50 -15  53 -23  72 -15  79  18  88  27  95  39  97  41  96  45  95  41  93  22  76  -1  59  -1
  5  63 -19  57 -19  71 -23  84  17  91  29  98  43  98  43  97  44  93  33  92  22  69   9  65  -8
  6  46 -14  59 -12  74 -10  88   9  90  26  97  41 100  50  98  47  95  35  91  23  76   4  64 -11
  7  51 -18  64 -12  74  -8  82  11  94  26  96  42  98  49  98  44  96  35  89  23  72 -12  62 -10
  8  57 -17  59 -20  76 -10  81  16  89  28 101  43  98  51  97  46  96  38  83  19  72  -6  60 -13
  9  45 -19  60 -20  74  -9  87  15  90  29  96  42  98  47  95  46  99  37  85  16  78  14  53 -13
 10  52 -25  62 -20  73  -3  86  17  87  30  97  40  99  46  98  48  93  37  87  16  71   5  59  -7
 11  54 -14  69 -21  68  -5  89  21  90  32  97  44 102  52  94  47  92  34  87  19  71  -6  63 -17
 12  55 -24  69 -24  73 -16  89  15  94  31  96  44 103  50 100  45  94  30  87  21  69   0  62 -16
 13  61 -19  62 -10  72 -12  78  15  88  27  98  41 104  50  95  42  91  36  86  24  70  -5  55 -15
 14  50 -28  65 -11  70  -9  84  19  91  35 100  44 100  49  99  46  97  35  87  27  78  -7  53 -11
 15  60 -20  62 -12  72   5  82  18  88  31  98  44  96  50 101  44  96  31  87  22  69   7  55 -16
 16  60 -22  63 -23  77   9  86  19  87  32  95  43  98  50 100  48  93  34  85  24  72  -2  60 -18
 17  59 -19  65 -29  70   2  84  20  89  36  94  43 102  51 101  51  94  34  83  19  76  -5  58 -13
 18  54 -17  63 -10  78   0  91  18  93  37  98  47 102  53 100  45  94  36  79  22  72   6  66 -17
 19  52 -22  64 -10  78   0  88  16  90  35  99  47 104  53  99  45  92  29  81  14  70   7  58 -20
 20  58 -22  65  -5  70   2  88  23  90  33 101  42 100  50  97  42  90  28  82  10  64   5  57 -19
 21  57 -24  64 -12  70  -4  91  23  90  36 101  40 106  48 100  46  88  29  84  18  70  -2  56 -23
 22  57 -16  65  -9  80   7  93  24  93  28 100  43 101  50  97  48  87  27  82  19  68   2  56 -26
 23  62 -25  60 -17  77   4  90  21  92  29  98  44  96  51  96  43  82  29  81  18  65   4  58 -29
 24  67 -20  67 -13  82   0  89  18  99  40 100  46  94  53  96  46  87  28  79  15  60   2  52 -21
 25  54 -16  66  -1  79   3  91  26  99  40  99  41  96  52  99  43  87  33  79  16  71  -5  50 -21
 26  50 -17  62 -25  82  -7  93  28  96  37  99  47 102  44 100  46  91  29  82  19  68  -1  57 -17
 27  53 -21  67 -10  79   7  90  27  90  33  98  44 102  45 103  43  89  30  80  13  64   0  55  -9
 28  51 -18  69 -18  84   7  90  27  92  34  98  51 102  46 101  39  98  27  82  12  67  -6  63  -8
